#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    0.416667    0.416667           0
           2    0.416667    0.416667           0
           3    0.416667    0.416667           0
           4    0.416667    0.416667           0
           5    0.416667    0.416667           0
           6    0.416667    0.416667           0
           7    0.416667    0.416667 2.81605e-09
           8    0.416667    0.416667 2.63418e-09
           9    0.416667    0.416667 2.48353e-09
          10    0.416667    0.416667 2.35608e-09
          11    0.416667    0.416667 2.24643e-09
          12    0.416667    0.416667           0
          13    0.416667    0.416667           0
          14    0.416667    0.416667           0
          15    0.416667    0.416667 1.36028e-09
          16    0.416667    0.416667 1.31709e-09
          17    0.416667    0.416667 1.27776e-09
          18    0.416667    0.416667 1.24176e-09
          19    0.416667    0.416667 2.09343e-09
          20    0.416667    0.416667 2.04043e-09
          21    0.416667    0.416667 1.14965e-09
          22    0.416667    0.416667 1.12322e-09
          23    0.416667    0.416667           0
          24    0.416667    0.416667           0
          25    0.416667    0.416667 1.49012e-09
          26    0.416667    0.416667 1.46118e-09
          27    0.416667    0.416667 2.02779e-09
          28    0.416667    0.416667 1.99125e-09
          29    0.416667    0.416667 1.95662e-09
          30    0.416667    0.416667 1.92373e-09
          31    0.416667    0.416667 2.11582e-09
          32    0.416667    0.416667  2.0825e-09
          33    0.416667    0.416667  2.0507e-09
          34    0.416667    0.416667 2.02032e-09
          35    0.416667    0.416667 2.35608e-09
          36    0.416667    0.416667 2.32313e-09
          37    0.416667    0.416667 2.29152e-09
          38    0.416667    0.416667 2.26117e-09
          39    0.416667    0.416667 2.23199e-09
          40    0.416667    0.416667 1.86265e-09
          41    0.416667    0.416667 1.64556e-09
          42    0.416667    0.416667 1.62585e-09
          43    0.416667    0.416667  1.1362e-09
          44    0.416667    0.416667 1.12322e-09
          45    0.416667    0.416667           0
          46    0.416667    0.416667           0
          47    0.416667    0.416667 7.68469e-10
          48    0.416667    0.416667 7.60422e-10
          49    0.416667    0.416667 7.52622e-10
          50    0.416667    0.416667 1.29048e-09
          51    0.416667    0.416667 1.27776e-09
          52    0.416667    0.416667 1.63365e-09
          53    0.416667    0.416667 1.61816e-09
          54    0.416667    0.416667 1.60311e-09
          55    0.416667    0.416667 1.74008e-09
          56    0.416667    0.416667 1.72447e-09
          57    0.416667    0.416667 1.70928e-09
          58    0.416667    0.416667 1.69448e-09
          59    0.416667    0.416667 1.93997e-09
          60    0.416667    0.416667 1.92373e-09
          61    0.416667    0.416667  1.9079e-09
          62    0.416667    0.416667 2.11582e-09
          63    0.416667    0.416667 2.09896e-09
          64    0.416667    0.416667  2.0825e-09
          65    0.416667    0.416667 2.06642e-09
          66    0.416667    0.416667  2.0507e-09
          67    0.416667    0.416667 2.13469e-09
          68    0.416667    0.416667 2.11893e-09
          69    0.416667    0.416667 2.10352e-09
          70    0.416667    0.416667 2.08844e-09
          71    0.416667    0.416667 2.07368e-09
          72    0.416667    0.416667 2.23862e-09
          73    0.416667    0.416667 2.22323e-09
          74    0.416667    0.416667 2.20816e-09
          75    0.416667    0.416667 2.19339e-09
          76    0.416667    0.416667 2.17891e-09
          77    0.416667    0.416667 2.16472e-09
          78    0.416667    0.416667  2.1508e-09
          79    0.416667    0.416667 2.13714e-09
          80    0.416667    0.416667 2.12374e-09
          81    0.416667    0.416667 2.11059e-09
          82    0.416667    0.416667 2.25327e-09
          83    0.416667    0.416667 2.23966e-09
          84    0.416667    0.416667 2.22629e-09
          85    0.416667    0.416667 2.21315e-09
          86    0.416667    0.416667 2.20025e-09
          87    0.416667    0.416667 2.18757e-09
          88    0.416667    0.416667  2.1751e-09
          89    0.416667    0.416667 2.16285e-09
          90    0.416667    0.416667 2.22133e-09
          91    0.416667    0.416667  2.2091e-09
          92    0.416667    0.416667 2.19706e-09
          93    0.416667    0.416667 2.18521e-09
          94    0.416667    0.416667 2.17356e-09
          95    0.416667    0.416667 2.09343e-09
          96    0.416667    0.416667 2.01189e-09
          97    0.416667    0.416667 2.00149e-09
          98    0.416667    0.416667 2.06114e-09
          99    0.416667    0.416667 1.98117e-09
         100    0.416667    0.416667 1.97124e-09
