# DISTANCE:     AVE_GOFR:        ERROR:
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1   0.0677265 0.000337785
           1    0.345664  0.00142512
           1     1.30499  0.00498403
           1     2.89079  0.00932085
           1     4.73435   0.0130418
           1     7.45456   0.0187332
           1     10.5645   0.0242016
           1     13.2515   0.0275358
           1     15.8976   0.0303911
           1     18.9043   0.0337127
           1     21.5406   0.0360135
           1     24.1061   0.0380379
           1     26.5183   0.0397126
           1     29.0976   0.0415388
           1     31.0232     0.04247
           1     32.8068    0.043232
           1     34.6007   0.0439811
           1      36.069    0.044444
           1     37.3117    0.044749
           1     38.4995   0.0450166
           1     39.7071   0.0452896
           1     40.9442   0.0455733
           1     42.0882   0.0458015
           1     43.2518   0.0460349
           1     44.5067   0.0463122
           1     45.6539   0.0465273
           1     46.8481   0.0467614
           1     48.0158   0.0469774
           1     49.2589    0.047227
           1     50.4089   0.0474249
           1     51.6089   0.0476427
           1     52.7142   0.0478116
           1     53.8406   0.0479861
           1     54.8897   0.0481241
           1     55.9362   0.0482577
           1     57.1418   0.0484572
           1     58.5354   0.0487494
           1     59.8067   0.0489704
           1     60.9629   0.0491332
           1     62.1027    0.049285
           1      63.352   0.0494818
           1     64.4878    0.049624
           1     65.5757   0.0497438
           1     66.5553   0.0498222
           1     67.6161   0.0499259
           1     68.5136   0.0499746
           1     69.3204   0.0499984
           1     70.1886   0.0500354
           1     71.2216   0.0501194
           1     72.2625   0.0502033
           1     73.4202   0.0503269
           1     74.6193   0.0504634
           1     75.6997   0.0505513
           1     76.9339   0.0506949
           1     78.1107   0.0508113
           1     79.2381   0.0509057
           1     80.3347    0.050986
           1     81.4271   0.0510619
           1     82.6497   0.0511822
           1     83.9098   0.0513135
           1     85.1253   0.0514231
           1     86.1723   0.0514715
           1     87.3407   0.0515568
           1     88.6029   0.0516737
           1     89.8016   0.0517626
           1     90.7678   0.0517773
           1     91.8833   0.0518318
           1     92.8552   0.0518431
           1     93.8173   0.0518497
           1     94.9547   0.0519028
           1       95.97   0.0519176
           1      97.123   0.0519697
           1     98.4737   0.0520906
           1     99.6342   0.0521379
           1     100.765   0.0521727
           1     102.063   0.0522609
           1     103.139   0.0522738
           1     104.228   0.0522875
           1     105.303   0.0522946
           1     106.289   0.0522775
           1     107.321   0.0522687
           1     108.314   0.0522483
           1     109.265   0.0522173
           1     110.302   0.0522022
           1     111.347   0.0521864
           1     112.337    0.052156
           1     113.331   0.0521239
           1     114.277   0.0520803
           1     115.171   0.0520258
           1     116.135   0.0519813
           1     117.115   0.0519374
           1      118.06   0.0518849
           1     119.003   0.0518298
           1     119.987   0.0517796
           1     120.978   0.0517285
           1     121.876   0.0516598
           1     122.921   0.0516147
           1     123.833   0.0515434
           1     124.717   0.0514665
           1     125.668    0.051397
           1     126.536   0.0513139
           1     127.495   0.0512412
           1     128.441   0.0511642
           1     129.354   0.0510803
           1     130.246   0.0509916
           1     131.181   0.0509062
           1     132.144   0.0508224
           1     133.132   0.0507401
           1     134.143   0.0506592
           1     135.038   0.0505595
           1     135.958   0.0504604
           1     136.875   0.0503587
           1     137.853   0.0502626
           1     138.792   0.0501587
           1     139.656   0.0500449
           1     140.486   0.0499264
           1     141.313   0.0498058
           1      142.25   0.0496926
           1     143.191   0.0495773
           1     144.207   0.0494694
           1     145.164   0.0493508
           1     146.064   0.0492238
           1     146.933   0.0490921
           1     147.741   0.0489551
           1     148.567   0.0488166
           1      149.41   0.0486768
           1     150.293    0.048537
           1     151.207   0.0483971
           1     152.155   0.0482577
           1      153.05   0.0481111
           1     153.973   0.0479641
           1     154.941   0.0478185
           1      155.97   0.0476769
           1      156.97   0.0475286
           1      157.98   0.0473784
           1     158.984   0.0472242
           1     159.988    0.047067
           1     160.929   0.0469008
           1     161.907   0.0467347
           1      162.94   0.0465711
           1     163.988   0.0464057
           1     165.022   0.0462353
           1     166.008   0.0460565
           1     166.967   0.0458725
           1     167.952    0.045687
           1         169    0.045504
           1     169.964   0.0453101
           1     170.928   0.0451127
           1     171.912   0.0449132
           1     172.898   0.0447102
           1     173.874   0.0445029
           1     174.799   0.0442898
           1     175.711   0.0440729
           1     176.548   0.0438529
           1     177.395   0.0436296
           1      178.27   0.0434025
           1     179.114   0.0431727
           1      179.95   0.0429399
           1     180.828   0.0427026
           1     181.743   0.0424614
           1     182.647   0.0422164
           1     183.536   0.0419677
           1     184.419   0.0417154
           1      185.39   0.0414591
           1     186.329   0.0411979
           1     187.274   0.0409324
           1       188.2   0.0406625
           1     189.155    0.040388
           1     190.126    0.040109
           1     191.032   0.0398257
           1     191.995   0.0395369
           1     192.955   0.0392429
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2    0.079769 0.000795693
           2    0.499356   0.0042564
           2     1.22626  0.00838619
           2     2.09554   0.0120187
           2     3.06154   0.0153387
           2     4.32377   0.0197468
           2     5.48645   0.0227907
           2     6.62169   0.0253263
           2     7.87137   0.0280808
           2     9.16833   0.0307521
           2     10.3039   0.0326128
           2     11.4238    0.034305
           2     12.3245   0.0353167
           2     13.0811   0.0359848
           2     13.9088   0.0367728
           2     14.6271   0.0373309
           2     15.2379   0.0377065
           2     15.9303    0.038196
           2     16.6353    0.038693
           2     17.2892   0.0391002
           2     17.9519   0.0395103
           2     18.5769   0.0398585
           2     19.2103   0.0402102
           2     19.7955   0.0404931
           2     20.4403   0.0408448
           2     21.1123   0.0412249
           2     21.6716   0.0414585
           2     22.1817    0.041637
           2      22.725   0.0418445
           2     23.2368   0.0420166
           2     23.8725   0.0423182
           2     24.6285   0.0427745
           2     25.2918    0.043094
           2     25.9225   0.0433673
           2       26.58   0.0436657
           2     27.4134   0.0442002
           2     28.0994   0.0445159
           2      28.726   0.0447563
           2     29.3402    0.044978
           2     29.9194   0.0451598
           2     30.4949   0.0453336
           2     31.0075   0.0454494
           2     31.5776   0.0456105
           2     32.0252    0.045674
           2     32.5175   0.0457653
           2      33.095   0.0459225
           2     33.7009   0.0461015
           2     34.2085   0.0461939
           2     34.6858   0.0462624
           2     35.2695   0.0464098
           2     35.8608   0.0465597
           2     36.3878   0.0466534
           2     36.8583    0.046706
           2     37.3047   0.0467421
           2     37.8192   0.0468184
           2     38.3895   0.0469336
           2     38.9825   0.0470636
           2     39.6311   0.0472394
           2     40.2446   0.0473782
           2     40.7814   0.0474527
           2     41.3307   0.0475329
           2     41.9143   0.0476356
           2     42.4689   0.0477128
           2     43.0865   0.0478354
           2      43.683   0.0479368
           2     44.2474   0.0480101
           2      44.805   0.0480753
           2     45.3843   0.0481526
           2     46.0098    0.048262
           2     46.5726   0.0483201
           2      47.094   0.0483488
           2     47.6227   0.0483789
           2     48.1511   0.0484059
           2     48.7635   0.0484867
           2     49.3649   0.0485554
           2     49.8677   0.0485588
           2     50.3727   0.0485608
           2     50.8619   0.0485523
           2      51.344   0.0485379
           2     51.8211   0.0485189
           2     52.3312   0.0485133
           2     52.8319   0.0485003
           2     53.3437   0.0484902
           2     53.8365   0.0484683
           2      54.331   0.0484447
           2     54.7977   0.0484066
           2     55.2393   0.0483571
           2     55.7291   0.0483241
           2     56.2352    0.048296
           2     56.7494    0.048269
           2     57.2573   0.0482363
           2     57.7816   0.0482086
           2     58.3355   0.0481932
           2     58.8784   0.0481689
           2     59.4521   0.0481583
           2     59.9817   0.0481211
           2     60.4996   0.0480756
           2     61.0341   0.0480349
           2     61.5571   0.0479859
           2     62.0525   0.0479226
           2     62.5985   0.0478785
           2     63.1038   0.0478135
           2     63.5876   0.0477377
           2     64.0387   0.0476492
           2     64.5048   0.0475628
           2     64.9551   0.0474694
           2     65.4567   0.0473899
           2     65.9395    0.047301
           2     66.3798   0.0471979
           2     66.8244   0.0470936
           2      67.288   0.0469916
           2     67.7726   0.0468931
           2     68.2324    0.046785
           2     68.7095    0.046679
           2     69.1786   0.0465682
           2     69.6436   0.0464537
           2     70.1149   0.0463381
           2     70.5772   0.0462177
           2     71.0166   0.0460898
           2     71.4616   0.0459606
           2     71.9121   0.0458298
           2     72.3827   0.0457009
           2     72.8377   0.0455657
           2     73.2536   0.0454219
           2       73.69   0.0452784
           2     74.1204   0.0451314
           2      74.579   0.0449865
           2     75.0595   0.0448433
           2     75.5607   0.0447023
           2     76.0621   0.0445581
           2     76.5477   0.0444066
           2      77.069   0.0442615
           2     77.5531   0.0441032
           2     78.0335   0.0439409
           2     78.4679   0.0437685
           2     78.9139   0.0435944
           2     79.4011    0.043424
           2     79.8931   0.0432512
           2      80.386    0.043075
           2     80.8364   0.0428886
           2     81.2984   0.0427004
           2     81.7486   0.0425076
           2     82.2203    0.042314
           2     82.6995   0.0421179
           2     83.2126   0.0419247
           2     83.7139    0.041725
           2     84.1883   0.0415169
           2      84.706   0.0413127
           2     85.2036   0.0411001
           2     85.6917    0.040882
           2     86.1815     0.04066
           2      86.649   0.0404314
           2     87.1318   0.0402002
           2      87.616   0.0399649
           2      88.109   0.0397263
           2     88.6049   0.0394836
           2     89.0883   0.0392349
           2     89.5649    0.038981
           2     89.9996   0.0387219
           2     90.4488   0.0384582
           2     90.8856   0.0381904
           2     91.3339   0.0379178
           2     91.7848   0.0376405
           2     92.2448   0.0373583
           2     92.6935   0.0370714
           2     93.1141   0.0367818
           2     93.5773   0.0364845
           2     94.0242   0.0361825
           2     94.5113   0.0358745
           2     94.9859   0.0355603
           2     95.4722   0.0352402
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3   0.0265173 0.000396763
           3    0.250272  0.00336936
           3    0.567856   0.0058098
           3     1.23286   0.0114852
           3     1.87466   0.0149112
           3     2.62863   0.0186127
           3     3.44175   0.0221278
           3     4.24736   0.0250738
           3     4.98823   0.0272855
           3     5.60485   0.0286827
           3     6.33634   0.0305494
           3     7.02306   0.0320789
           3     7.77691   0.0338285
           3     8.48017   0.0352531
           3     8.97313   0.0358856
           3     9.43123   0.0364076
           3     9.82296   0.0367635
           3     10.4027   0.0376029
           3     11.0152   0.0385179
           3     11.4916   0.0390211
           3     12.0205   0.0396433
           3     12.4993   0.0401243
           3     12.9631   0.0405596
           3     13.4044   0.0409366
           3     13.8111    0.041238
           3     14.2171   0.0415314
           3     14.5984   0.0417757
           3     15.0123    0.042071
           3      15.449   0.0424018
           3     15.8734   0.0427022
           3     16.3049   0.0430087
           3      16.727   0.0432915
           3     17.1668   0.0435993
           3     17.5621   0.0438249
           3     17.9007   0.0439649
           3     18.2914   0.0441741
           3     18.8218   0.0446373
           3     19.3424    0.045068
           3        19.8   0.0453661
           3     20.3154   0.0457668
           3     20.8597   0.0462174
           3     21.3199   0.0464957
           3     21.7932     0.04679
           3     22.1366    0.046892
           3     22.4954   0.0470086
           3     22.8334   0.0470987
           3     23.2074   0.0472269
           3     23.5303   0.0472955
           3     23.8454   0.0473541
           3     24.1928   0.0474425
           3     24.4817   0.0474737
           3     24.8209   0.0475481
           3     25.1627   0.0476223
           3     25.5289   0.0477198
           3     25.8767   0.0477941
           3     26.2372    0.047879
           3     26.5633   0.0479265
           3     26.9264   0.0480079
           3     27.3018   0.0480995
           3     27.6861   0.0481977
           3     28.0196   0.0482405
           3     28.3379   0.0482676
           3     28.6488   0.0482864
           3     29.0047   0.0483425
           3     29.3275   0.0483659
           3     29.6152   0.0483612
           3     29.9214   0.0483673
           3     30.2811   0.0484163
           3     30.6586   0.0484801
           3      31.041   0.0485456
           3     31.4068   0.0485911
