# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0323165           0           0
    0.064633           0           0
   0.0969496           0           0
    0.129266           0           0
    0.161583           0           0
    0.193899           0           0
    0.226216           0           0
    0.258532           0           0
    0.290849           0           0
    0.323165           0           0
    0.355482           0           0
    0.387798           0           0
    0.420115           0           0
    0.452431           0           0
    0.484748           0           0
    0.517064           0           0
    0.549381           0           0
    0.581697           0           0
    0.614014           0           0
     0.64633           0           0
    0.678647           0           0
    0.710963           0           0
     0.74328           0           0
    0.775596           0           0
    0.807913           0           0
     0.84023           0           0
    0.872546  0.00359215  0.00132597
    0.904863   0.0476268  0.00519226
    0.937179    0.257211   0.0142786
    0.969496    0.736204   0.0228014
     1.00181     1.38512   0.0360164
     1.03413     1.96583   0.0411269
     1.06645     2.26528    0.050565
     1.09876     2.43267    0.051062
     1.13108     2.38619   0.0489386
     1.16339     2.26399   0.0485794
     1.19571     2.12734   0.0445695
     1.22803     2.06858   0.0430781
     1.26034     1.84893   0.0365028
     1.29266     1.75572   0.0357895
     1.32498     1.64428    0.033209
     1.35729     1.48283   0.0293511
     1.38961      1.4237   0.0257934
     1.42193     1.39505   0.0261819
     1.45424     1.37014   0.0260955
     1.48656     1.31716   0.0274505
     1.51888     1.23247    0.024754
     1.55119      1.1743   0.0226253
     1.58351     1.18336   0.0244512
     1.61583     1.14483   0.0204054
     1.64814     1.11797   0.0205844
     1.68046     1.13082   0.0191386
     1.71278     1.10679   0.0189135
     1.74509     1.09657   0.0187035
     1.77741     1.07816   0.0184788
     1.80973     1.05392   0.0227977
     1.84204     1.06444   0.0217498
     1.87436       1.083   0.0226593
     1.90667       1.087   0.0208915
     1.93899     1.07876   0.0182907
     1.97131     1.07814   0.0183297
     2.00362       1.072   0.0179459
     2.03594     1.06168   0.0197742
     2.06826     1.08616   0.0234071
     2.10057     1.06657   0.0206876
     2.13289       1.056   0.0181615
     2.16521     1.04489   0.0192056
     2.19752     1.03421   0.0189009
     2.22984     1.02875   0.0172577
     2.26216     1.04431   0.0147851
     2.29447     1.05098   0.0147534
     2.32679     1.03679   0.0149713
     2.35911     1.03067   0.0161955
     2.39142     1.01957   0.0162036
     2.42374     1.01747   0.0148218
     2.45606     1.03465   0.0136447
     2.48837     1.00794   0.0123083
     2.52069     1.01839   0.0123722
     2.55301     1.01182   0.0126943
     2.58532     1.01938   0.0132342
     2.61764     1.01995   0.0135216
     2.64995     1.01363   0.0122578
     2.68227      1.0241    0.013878
     2.71459     1.03028   0.0138767
      2.7469     1.02682    0.013162
     2.77922      1.0203   0.0115141
     2.81154     1.02813   0.0127096
     2.84385     1.01993   0.0109845
     2.87617     1.00279   0.0102304
     2.90849    0.993345    0.011803
      2.9408    0.994833   0.0115284
     2.97312     1.01076   0.0125372
     3.00544     1.00138   0.0123319
     3.03775     1.00981   0.0114197
     3.07007     1.01447   0.0124719
     3.10239     1.00351   0.0114666
      3.1347     1.00202   0.0120848
     3.16702     1.00327   0.0120668
     3.19934     1.00587   0.0115969
     3.23165     1.00935   0.0109129
     3.26397    0.999658  0.00999189
     3.29629     1.00838   0.0101404
      3.3286     1.01918   0.0120861
     3.36092    0.989906   0.0110876
     3.39323    0.992883   0.0111556
     3.42555    0.991744   0.0111421
     3.45787     0.99156   0.0101052
     3.49018    0.996343   0.0099898
      3.5225    0.990904  0.00956471
     3.55482     1.00132   0.0088596
     3.58713     1.00182  0.00886419
     3.61945    0.990075  0.00893477
     3.65177    0.985386  0.00983644
     3.68408    0.993062  0.00887626
      3.7164     1.00121  0.00839368
     3.74872    0.990112  0.00819828
     3.78103    0.993833  0.00776593
     3.81335     1.00531  0.00938109
     3.84567     1.01377   0.0105424
     3.87798     1.01453  0.00876771
      3.9103    0.989129  0.00801109
     3.94262    0.994118  0.00886189
     3.97493     1.00568  0.00938225
     4.00725     1.02992  0.00987227
     4.03957     1.01278  0.00897249
     4.07188     1.00323  0.00868166
      4.1042    0.997167  0.00839803
     4.13651    0.993846  0.00867932
     4.16883     0.99934  0.00909373
     4.20115    0.992067  0.00880483
     4.23346    0.989353  0.00899237
     4.26578    0.984722  0.00957639
      4.2981    0.980375   0.0081711
     4.33041    0.986147  0.00710799
     4.36273    0.988763  0.00741892
     4.39505    0.992153  0.00693977
     4.42736    0.980556  0.00764997
     4.45968    0.988732  0.00774949
       4.492    0.994081  0.00647886
     4.52431    0.988511  0.00637779
     4.55663    0.994145  0.00696236
