#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.89838     1.89838           0
           2     1.85375     1.87607   0.0157792
           3      1.8447     1.86561   0.0135477
           4     1.83473     1.85789   0.0121635
           5     1.84845       1.856  0.00987639
           6     1.82589     1.85098  0.00941979
           7     1.77251     1.83977     0.01315
           8     1.75117      1.8287   0.0154832
           9     1.79091      1.8245   0.0143209
          10     1.82427     1.82448   0.0128888
          11     1.80172     1.82241    0.011882
          12      1.7727     1.81826   0.0115914
          13      1.7496     1.81298   0.0118423
          14     1.75844     1.80909   0.0116195
          15     1.78533      1.8075   0.0109523
          16     1.81303     1.80785   0.0102732
          17     1.81503     1.80827   0.0096776
          18     1.84041     1.81006  0.00930323
          19     1.87699     1.81358    0.009457
          20     1.86167     1.81598  0.00928479
          21     1.83528      1.8169    0.008888
          22     1.83717     1.81782  0.00853159
          23     1.87627     1.82036  0.00853068
          24     1.89468     1.82346  0.00871911
          25     1.90228     1.82661  0.00892219
          26     1.92632     1.83045  0.00936704
          27     1.93155     1.83419  0.00973977
          28     1.94072       1.838   0.0101077
          29      1.8948     1.83996  0.00994707
          30     1.88277     1.84138  0.00971735
          31     1.92398     1.84405  0.00976233
          32     1.85627     1.84443  0.00946473
          33     1.80369      1.8432  0.00925808
          34     1.81505     1.84237  0.00902271
          35     1.81876     1.84169  0.00879009
          36      1.7803     1.83999  0.00870979
          37     1.81092      1.8392  0.00850974
          38     1.80282     1.83824  0.00833948
          39     1.79818     1.83722  0.00818868
          40     1.80297     1.83636  0.00802859
          41     1.82226     1.83602  0.00784013
          42     1.88438     1.83717  0.00773757
          43     1.88819     1.83836  0.00764805
          44     1.85589     1.83875  0.00748461
          45     1.82708     1.83849  0.00732278
          46     1.82492      1.8382  0.00716953
          47      1.8569      1.8386  0.00702802
          48      1.7993     1.83778  0.00692912
          49     1.84766     1.83798  0.00679065
          50     1.83403      1.8379  0.00665529
          51     1.84833     1.83811  0.00652794
          52     1.84231     1.83819   0.0064029
          53     1.85376     1.83848  0.00628883
          54     1.85518     1.83879  0.00617997
          55     1.85356     1.83906  0.00607344
          56     1.78912     1.83817  0.00603011
          57     1.78373     1.83721  0.00599948
          58     1.81116     1.83676  0.00591283
          59     1.82947     1.83664   0.0058139
          60     1.85493     1.83694  0.00572499
          61       1.816      1.8366  0.00564142
          62     1.80396     1.83607  0.00557494
          63     1.79924     1.83549  0.00551702
          64     1.78449     1.83469  0.00548807
          65     1.80893      1.8343  0.00541794
          66     1.76757     1.83328  0.00542937
          67     1.73775     1.83186  0.00553241
          68     1.77124     1.83097   0.0055224
          69     1.81191     1.83069  0.00544926
          70     1.79474     1.83018  0.00539556
          71     1.76866     1.82931  0.00538869
          72     1.76964     1.82848  0.00537719
          73     1.79864     1.82807  0.00531905
          74     1.78763     1.82753  0.00527517
          75     1.79123     1.82704  0.00522699
          76     1.77301     1.82633  0.00520634
          77     1.79894     1.82598  0.00515087
          78     1.83612     1.82611  0.00508647
          79     1.78509     1.82559  0.00504852
          80     1.78435     1.82507  0.00501166
          81     1.74332     1.82406  0.00505041
          82     1.80015     1.82377  0.00499723
          83     1.77037     1.82313  0.00497826
          84     1.80159     1.82287   0.0049256
          85     1.87526     1.82349  0.00490606
          86      1.8205     1.82345  0.00484913
          87     1.77374     1.82288  0.00482695
          88     1.80078     1.82263  0.00477862
          89     1.82477     1.82265  0.00472499
          90     1.83683     1.82281  0.00467511
          91     1.80765     1.82265  0.00462671
          92     1.77313     1.82211  0.00460761
          93     1.76074     1.82145  0.00460508
          94     1.75278     1.82072  0.00461367
          95     1.73587     1.81982  0.00465074
          96     1.75552     1.81915  0.00465028
          97     1.71656      1.8181  0.00472109
          98     1.73062      1.8172  0.00475655
          99     1.72482     1.81627  0.00479916
         100     1.77388     1.81585  0.00476986
