#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.509938   -0.509938           0
           2   -0.465366   -0.487652   0.0157587
           3   -0.456439   -0.477248   0.0135107
           4    -0.44646   -0.469551   0.0121288
           5   -0.460272   -0.467695  0.00984397
           6   -0.437595   -0.462678  0.00939504
           7   -0.384185   -0.451465   0.0131387
           8   -0.362789   -0.440381   0.0154814
           9   -0.402646   -0.436188   0.0143177
          10   -0.435986   -0.436168    0.012886
          11   -0.413287   -0.434088   0.0118812
          12    -0.38435   -0.429943   0.0115916
          13   -0.361149   -0.424651   0.0118464
          14   -0.370075   -0.420753    0.011624
          15   -0.396975   -0.419167   0.0109566
          16   -0.424627   -0.419509   0.0102771
          17   -0.426631   -0.419928  0.00968111
          18   -0.452075   -0.421714  0.00930655
          19   -0.488486   -0.425228  0.00945701
          20   -0.473105   -0.427622  0.00928219
          21   -0.446785   -0.428534  0.00888493
          22   -0.448803   -0.429456   0.0085287
          23   -0.487989   -0.432001  0.00852914
          24   -0.506531   -0.435106  0.00872079
          25   -0.514329   -0.438275  0.00892917
          26    -0.53835   -0.442124  0.00937871
          27   -0.543464   -0.445877  0.00975352
          28   -0.552464   -0.449684   0.0101208
          29   -0.506471   -0.451642  0.00995944
          30   -0.494572   -0.453073  0.00972972
          31   -0.535694   -0.455738  0.00977407
          32   -0.467974   -0.456121  0.00947611
          33   -0.415344   -0.454885  0.00926917
          34   -0.426599   -0.454053   0.0090338
          35   -0.430194   -0.453371  0.00880138
          36   -0.391776    -0.45166  0.00872161
          37   -0.422444   -0.450871  0.00852156
          38   -0.414437   -0.449912  0.00835107
          39   -0.409982   -0.448888  0.00819947
          40   -0.414772   -0.448035  0.00803872
          41   -0.434009   -0.447693  0.00784993
          42   -0.496018   -0.448844  0.00774689
          43     -0.4998   -0.450029  0.00765682
          44   -0.467302   -0.450421  0.00749286
          45    -0.43858   -0.450158  0.00733097
          46   -0.436434    -0.44986  0.00717767
          47   -0.468336   -0.450253  0.00703571
          48    -0.41065   -0.449428  0.00693734
          49   -0.459122   -0.449626  0.00679859
          50   -0.445428   -0.449542  0.00666313
          51   -0.459795   -0.449743  0.00653552
          52   -0.453821   -0.449821   0.0064103
          53   -0.465262   -0.450113  0.00629597
          54   -0.466856   -0.450423  0.00618701
          55   -0.465024   -0.450688  0.00608021
          56   -0.400589   -0.449793  0.00603709
          57   -0.395301   -0.448837   0.0060064
          58   -0.422669   -0.448386  0.00591976
          59   -0.440949    -0.44826  0.00582077
          60   -0.466419   -0.448563  0.00573161
          61   -0.427499   -0.448218  0.00564805
          62   -0.415472   -0.447689  0.00558159
          63   -0.410728   -0.447103  0.00552374
          64   -0.396037   -0.446305  0.00549476
          65   -0.420389   -0.445906  0.00542467
          66   -0.379077   -0.444894  0.00543616
          67   -0.349272   -0.443466   0.0055392
          68   -0.382915   -0.442576  0.00552885
          69   -0.423567     -0.4423  0.00545558
          70   -0.406358   -0.441787  0.00540175
          71   -0.380257    -0.44092  0.00539474
          72   -0.381321   -0.440093  0.00538295
          73   -0.410173   -0.439683  0.00532479
          74   -0.399088   -0.439134  0.00528101
          75    -0.40267   -0.438648  0.00523293
          76    -0.38454   -0.437936  0.00521228
          77   -0.410488    -0.43758  0.00515677
          78   -0.447621   -0.437708  0.00509226
          79   -0.396602   -0.437188  0.00505432
          80   -0.395932   -0.436672  0.00501738
          81   -0.354947   -0.435663  0.00505586
          82   -0.411743   -0.435372  0.00500261
          83   -0.381901   -0.434727  0.00498365
          84   -0.413261   -0.434472  0.00493087
          85     -0.4868   -0.435087  0.00491114
          86   -0.432051   -0.435052  0.00485416
          87   -0.385344   -0.434481  0.00483187
          88   -0.412435    -0.43423  0.00478345
          89   -0.436295   -0.434253  0.00472976
          90   -0.448385    -0.43441  0.00467982
          91   -0.419115   -0.434242  0.00463141
          92   -0.384656   -0.433703  0.00461232
          93   -0.372261   -0.433043   0.0046098
          94   -0.364255   -0.432311  0.00461848
          95   -0.347362   -0.431417  0.00465562
          96    -0.36695   -0.430745  0.00465531
          97   -0.327993   -0.429686   0.0047263
          98   -0.342089   -0.428792  0.00476184
          99    -0.33634   -0.427858  0.00480444
         100   -0.385396   -0.427434  0.00477512
