#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
               1       0.0564538       0.0564538               0
               2       0.0549491       0.0557015     0.000531993
               3       0.0547191        0.055374     0.000444153
               4       0.0543683       0.0551226     0.000397974
               5       0.0548077       0.0550596     0.000323322
               6       0.0540693       0.0548946     0.000308705
               7       0.0523049       0.0545246     0.000432812
               8       0.0515424       0.0541518     0.000514796
               9       0.0528806       0.0540106     0.000476582
              10       0.0540032       0.0540098     0.000428924
              11       0.0532855        0.053944     0.000394953
              12       0.0522606       0.0538037     0.000386152
              13       0.0515204       0.0536281     0.000394375
              14       0.0517915       0.0534969      0.00038741
              15       0.0527241       0.0534454     0.000364992
              16       0.0536102       0.0534557     0.000342325
              17       0.0537036       0.0534702     0.000322499
              18        0.054536       0.0535295      0.00030997
              19       0.0557534       0.0536465      0.00031498
              20        0.055252       0.0537268     0.000309292
              21       0.0543876       0.0537583      0.00029616
              22       0.0544008       0.0537875     0.000284135
              23       0.0557112       0.0538711     0.000283825
              24       0.0563748       0.0539754     0.000290538
              25        0.056615        0.054081     0.000297484
              26       0.0573987       0.0542086     0.000312212
              27        0.057545       0.0543322     0.000324182
              28       0.0578942       0.0544594     0.000336641
              29        0.056323       0.0545237     0.000331109
              30       0.0559163       0.0545701      0.00032331
              31       0.0574083       0.0546616     0.000325586
              32       0.0550584        0.054674     0.000315648
              33       0.0533262       0.0546332     0.000308714
              34       0.0536967       0.0546056      0.00030086
              35       0.0538581       0.0545843     0.000293021
              36       0.0525055       0.0545265     0.000290516
              37       0.0535684       0.0545006     0.000283816
              38       0.0533071       0.0544692      0.00027808
              39       0.0531492       0.0544354     0.000273002
              40       0.0532726       0.0544063      0.00026772
              41       0.0539342       0.0543948     0.000261437
              42       0.0559722       0.0544324     0.000257896
              43       0.0561247       0.0544717     0.000254884
              44       0.0550363       0.0544845     0.000249414
              45       0.0540454       0.0544748     0.000244063
              46       0.0540013       0.0544645     0.000238974
              47        0.055131       0.0544787      0.00023431
              48       0.0531721       0.0544515     0.000231004
              49        0.054786       0.0544583      0.00022639
              50       0.0543345       0.0544558     0.000221876
              51       0.0547856       0.0544623      0.00021762
              52       0.0545824       0.0544646     0.000213447
              53       0.0549836       0.0544744     0.000209644
              54       0.0550022       0.0544841      0.00020599
              55       0.0550329       0.0544941     0.000202486
              56       0.0528421       0.0544646     0.000201007
              57       0.0526494       0.0544328     0.000199988
              58       0.0535579       0.0544177     0.000197108
              59       0.0542127       0.0544142     0.000193798
              60       0.0550008        0.054424     0.000190814
              61       0.0537294       0.0544126     0.000188025
              62       0.0533149       0.0543949     0.000185824
              63       0.0531705       0.0543755     0.000183888
              64       0.0526975       0.0543493     0.000182875
              65        0.053491        0.054336     0.000180537
              66       0.0521341       0.0543027     0.000180858
              67       0.0511721        0.054256     0.000184096
              68       0.0522167        0.054226     0.000183815
              69       0.0535835       0.0542167     0.000181387
              70       0.0530142       0.0541995     0.000179607
              71       0.0521719       0.0541709     0.000179333
              72       0.0521748       0.0541432     0.000178973
              73        0.053179         0.05413     0.000177008
              74       0.0527773       0.0541117     0.000175557
              75       0.0528808       0.0540953     0.000173982
              76       0.0523134       0.0540719     0.000173265
              77       0.0531457       0.0540598     0.000171432
              78         0.05444       0.0540647     0.000169303
              79       0.0526732       0.0540471     0.000168074
              80       0.0526998       0.0540302     0.000166815
              81        0.051261       0.0539961     0.000168222
              82       0.0532683       0.0539872     0.000166405
              83       0.0521965       0.0539656     0.000165792
              84       0.0532273       0.0539568     0.000164051
              85        0.055769       0.0539781     0.000163501
              86       0.0538846       0.0539771     0.000161603
              87       0.0523253       0.0539581     0.000160857
              88       0.0532336       0.0539498      0.00015924
              89        0.054027       0.0539507     0.000157453
              90       0.0544323       0.0539561     0.000155794
              91       0.0534828       0.0539509     0.000154169
              92       0.0522841       0.0539327     0.000153554
              93       0.0519015       0.0539109     0.000153448
              94       0.0516644        0.053887     0.000153666
              95       0.0510716       0.0538574      0.00015488
              96       0.0517808       0.0538357     0.000154769
              97        0.050438       0.0538007     0.000157088
              98       0.0508926        0.053771     0.000158263
              99       0.0507148       0.0537402     0.000159647
             100       0.0523369       0.0537261     0.000158666
