# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0128248           0           0
   0.0256496           0           0
   0.0384745           0           0
   0.0512993           0           0
   0.0641241           0           0
   0.0769489           0           0
   0.0897737           0           0
    0.102599           0           0
    0.115423           0           0
    0.128248           0           0
    0.141073           0           0
    0.153898           0           0
    0.166723           0           0
    0.179547           0           0
    0.192372           0           0
    0.205197           0           0
    0.218022           0           0
    0.230847           0           0
    0.243672           0           0
    0.256496           0           0
    0.269321           0           0
    0.282146           0           0
    0.294971           0           0
    0.307796           0           0
     0.32062           0           0
    0.333445           0           0
     0.34627           0           0
    0.359095           0           0
     0.37192           0           0
    0.384745           0           0
    0.397569           0           0
    0.410394           0           0
    0.423219           0           0
    0.436044           0           0
    0.448869           0           0
    0.461694           0           0
    0.474518           0           0
    0.487343           0           0
    0.500168           0           0
    0.512993           0           0
    0.525818           0           0
    0.538642           0           0
    0.551467           0           0
    0.564292           0           0
    0.577117           0           0
    0.589942           0           0
    0.602767           0           0
    0.615591           0           0
    0.628416           0           0
    0.641241           0           0
    0.654066           0           0
    0.666891           0           0
    0.679715           0           0
     0.69254           0           0
    0.705365           0           0
     0.71819           0           0
    0.731015           0           0
     0.74384           0           0
    0.756664           0           0
    0.769489           0           0
    0.782314           0           0
    0.795139           0           0
    0.807964           0           0
    0.820788           0           0
    0.833613           0           0
    0.846438           0           0
    0.859263 1.93598e-05 1.92618e-05
    0.872088 0.000323338 0.000101568
    0.884913   0.0021074 0.000337007
    0.897737  0.00976101  0.00064795
    0.910562     0.03768  0.00142999
    0.923387    0.102121  0.00241175
    0.936212    0.230427  0.00307076
    0.949037    0.436726  0.00413172
    0.961861    0.711576  0.00513535
    0.974686     1.04207  0.00662501
    0.987511     1.39367  0.00840047
     1.00034     1.73024   0.0104528
     1.01316     2.02131   0.0107798
     1.02599     2.25454   0.0105793
     1.03881      2.4406   0.0106106
     1.05164     2.54364   0.0102941
     1.06446     2.60419   0.0106227
     1.07728     2.58387   0.0105661
     1.09011     2.54813   0.0115405
     1.10293     2.47454  0.00997497
