#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.63599     1.63599           0
           2      1.6156     1.62579  0.00720939
           3     1.69109     1.64756   0.0184108
           4     1.62312     1.64145   0.0147874
           5     1.63241     1.63964     0.01194
           6      1.6332     1.63857  0.00999815
           7     1.68324     1.64495   0.0104088
           8     1.64207     1.64459  0.00911393
           9     1.67124     1.64755  0.00856866
          10     1.60131     1.64293   0.0088723
          11     1.65023     1.64359  0.00809053
          12     1.65374     1.64444   0.0074604
          13     1.64907     1.64479  0.00689504
          14     1.61027     1.64233  0.00682936
          15     1.65404     1.64311  0.00641859
          16     1.64369     1.64314  0.00601753
          17     1.65336     1.64374  0.00569347
          18     1.66875     1.64513  0.00554408
          19      1.6114     1.64336  0.00552936
          20     1.67434     1.64491  0.00546561
          21     1.61565     1.64351  0.00537998
          22     1.68786     1.64553  0.00550004
          23     1.67859     1.64697  0.00544551
          24     1.57991     1.64417  0.00589194
          25     1.64684     1.64428  0.00565722
          26     1.63784     1.64403  0.00544505
          27     1.63152     1.64357  0.00526306
          28     1.66928     1.64449  0.00515458
          29     1.65319     1.64479  0.00498556
          30     1.65213     1.64503  0.00482537
          31     1.68697     1.64638  0.00485566
          32     1.65573     1.64668  0.00471269
          33     1.68451     1.64782  0.00470725
          34     1.59345     1.64622  0.00483283
          35     1.64513     1.64619  0.00469485
          36     1.66008     1.64658  0.00458026
          37      1.6758     1.64737  0.00452404
          38     1.64794     1.64738  0.00440501
          39     1.69669     1.64865  0.00446979
          40     1.64425     1.64854  0.00435939
          41     1.66231     1.64887    0.004266
          42     1.65086     1.64892  0.00416469
          43     1.67376      1.6495  0.00410769
          44      1.7098     1.65087  0.00423678
          45     1.65791     1.65103  0.00414552
          46     1.59791     1.64987  0.00421312
          47     1.66527      1.6502   0.0041362
          48     1.58867     1.64892  0.00424398
          49     1.61128     1.64815  0.00422631
          50     1.63471     1.64788  0.00415033
          51     1.65553     1.64803  0.00407166
          52     1.66866     1.64843  0.00401264
          53     1.66657     1.64877  0.00395151
          54     1.63836     1.64858  0.00388303
          55     1.64081     1.64844  0.00381499
          56     1.64326     1.64834  0.00374799
          57     1.60042      1.6475  0.00377535
          58     1.65752     1.64768  0.00371421
          59     1.65523      1.6478  0.00365347
          60     1.66254     1.64805  0.00360082
          61     1.63028     1.64776  0.00355356
          62     1.64994     1.64779  0.00349641
          63     1.64069     1.64768  0.00344273
          64     1.65069     1.64773  0.00338926
          65     1.57856     1.64666  0.00350019
          66     1.62913      1.6464  0.00345722
          67     1.73061     1.64765  0.00362692
          68     1.64356     1.64759  0.00357408
          69     1.63639     1.64743  0.00352597
          70     1.63052     1.64719  0.00348387
          71     1.65193     1.64726  0.00343544
          72     1.63803     1.64713  0.00339011
          73     1.67138     1.64746  0.00335991
          74     1.64772     1.64746  0.00331451
          75     1.63691     1.64732   0.0032733
          76     1.70444     1.64807  0.00331537
          77     1.63966     1.64797  0.00327411
          78     1.64008     1.64786   0.0032337
          79     1.70409     1.64858  0.00327014
          80     1.67684     1.64893   0.0032483
          81     1.63151     1.64871   0.0032153
          82      1.6517     1.64875   0.0031763
          83     1.65602     1.64884  0.00313924
          84     1.63905     1.64872  0.00310403
          85      1.6502     1.64874  0.00306756
          86     1.67158       1.649  0.00304337
          87     1.62515     1.64873  0.00302072
          88     1.68382     1.64913  0.00301259
          89     1.65519      1.6492  0.00297951
          90     1.67417     1.64947  0.00295929
          91     1.64486     1.64942  0.00292721
          92     1.66667     1.64961  0.00290138
          93     1.62146     1.64931  0.00288594
          94     1.65887     1.64941  0.00285703
          95     1.64508     1.64936  0.00282732
          96     1.62674     1.64913  0.00280767
          97      1.6626     1.64927  0.00278216
          98     1.64777     1.64925  0.00275381
          99     1.61211     1.64888  0.00275143
         100     1.61526     1.64854  0.00274437
