#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
               1        0.029269        0.029269               0
               2       0.0189296       0.0240993      0.00365555
               3       0.0559714       0.0347233      0.00901032
               4        0.025094        0.032316      0.00707202
               5       0.0284613       0.0315451      0.00569948
               6       0.0306817       0.0314012      0.00475139
               7       0.0533981       0.0345436      0.00500503
               8        0.032216       0.0342526      0.00438785
               9       0.0455427       0.0355071      0.00407569
              10       0.0119296       0.0331493       0.0042963
              11       0.0355445       0.0333671      0.00391124
              12       0.0376513       0.0337241      0.00360156
              13       0.0346807       0.0337977      0.00332527
              14       0.0160118       0.0325273      0.00332158
              15        0.036962       0.0328229      0.00311327
              16       0.0325736       0.0328073      0.00291873
              17        0.039111       0.0331781      0.00277049
              18       0.0450791       0.0338393      0.00269432
              19       0.0166644       0.0329354      0.00269989
              20       0.0473512       0.0336562      0.00265937
              21       0.0189911       0.0329578      0.00262282
              22       0.0546053       0.0339418      0.00268183
              23       0.0516095         0.03471      0.00267298
              24      0.00122145       0.0333146      0.00290305
              25       0.0336603       0.0333284      0.00278696
              26       0.0319033       0.0332736      0.00268031
              27       0.0279595       0.0330768      0.00258826
              28       0.0464218       0.0335534      0.00253932
              29       0.0370716       0.0336747      0.00245466
              30       0.0376758       0.0338081      0.00237645
              31       0.0546706       0.0344811      0.00239319
              32       0.0397252        0.034645      0.00232401
              33       0.0532288       0.0352081      0.00232081
              34      0.00801521       0.0344083      0.00238639
              35       0.0326978       0.0343594       0.0023187
              36        0.041136       0.0345477      0.00226192
              37       0.0485852       0.0349271      0.00223238
              38        0.035524       0.0349428      0.00217369
              39       0.0585282       0.0355475      0.00220047
              40       0.0329071       0.0354815      0.00214645
              41       0.0422484       0.0356466      0.00210043
              42       0.0365231       0.0356674      0.00205053
              43       0.0487552       0.0359718       0.0020253
              44       0.0654439       0.0366416       0.0020871
              45       0.0409549       0.0367375      0.00204292
              46        0.010498        0.036167      0.00207662
              47       0.0430786       0.0363141      0.00203764
              48      0.00627249       0.0356882      0.00208909
              49       0.0165081       0.0352968      0.00208281
              50       0.0296788       0.0351844      0.00204418
              51       0.0383605       0.0352467      0.00200505
              52       0.0455226       0.0354443       0.0019762
              53        0.045422       0.0356326      0.00194786
              54       0.0320825       0.0355668       0.0019129
              55       0.0299462       0.0354647      0.00188085
              56       0.0332088       0.0354244      0.00184769
              57       0.0125533       0.0350231      0.00185833
              58       0.0388364       0.0350889      0.00182745
              59       0.0380761       0.0351395      0.00179718
              60       0.0429388       0.0352695      0.00177192
              61       0.0265286       0.0351262      0.00174866
              62       0.0370913       0.0351579      0.00172074
              63       0.0304975       0.0350839      0.00169502
              64       0.0374531       0.0351209      0.00166894
              65      0.00100134        0.034596      0.00172384
              66       0.0249834       0.0344504      0.00170386
              67       0.0756876       0.0350659      0.00178614
              68       0.0338786       0.0350484      0.00175996
              69       0.0305134       0.0349827      0.00173568
              70        0.026319       0.0348589      0.00171529
              71       0.0369364       0.0348882      0.00169138
              72       0.0298972       0.0348188      0.00166931
              73       0.0469664       0.0349853      0.00165471
              74       0.0335635        0.034966      0.00163246
              75       0.0305695       0.0349074      0.00161175
              76        0.062403       0.0352692      0.00163064
              77       0.0303084       0.0352048      0.00161074
              78       0.0314987       0.0351573      0.00159079
              79       0.0630169       0.0355099      0.00160926
              80       0.0491084       0.0356799       0.0015981
              81       0.0270848       0.0355738      0.00158189
              82         0.03708       0.0355922       0.0015627
              83       0.0390579       0.0356339      0.00154443
              84       0.0300149        0.035567       0.0015275
              85       0.0366363       0.0355796      0.00150958
              86       0.0457083       0.0356974      0.00149661
              87       0.0237524       0.0355601      0.00148569
              88       0.0521652       0.0357488      0.00148075
              89       0.0388831        0.035784      0.00146453
              90       0.0490345       0.0359312      0.00145564
              91       0.0372359       0.0359456      0.00143971
              92       0.0439148       0.0360322      0.00142666
              93       0.0220822       0.0358822      0.00141919
              94       0.0406227       0.0359326      0.00140499
              95       0.0342931       0.0359153       0.0013903
              96       0.0247923       0.0357995      0.00138064
              97        0.042518       0.0358687      0.00136814
              98       0.0354016        0.035864      0.00135419
              99       0.0165516       0.0356689      0.00135449
             100       0.0186774        0.035499      0.00135156
