# DISTANCE:     AVE_GOFR:        ERROR:
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1   0.0173838 8.67015e-05
           1   0.0887729 0.000366033
           1    0.256081 0.000909158
           1    0.690069  0.00234177
           1     1.42303  0.00432677
           1     2.75355    0.007892
           1     4.74151   0.0126183
           1     7.43628   0.0183484
           1     10.6683   0.0243003
           1     14.6542    0.031226
           1     19.1983   0.0383675
           1     23.9004   0.0447155
           1     28.6413   0.0503015
           1     33.3111   0.0551294
           1     38.0683   0.0596873
           1     42.3727   0.0631069
           1     46.2696   0.0657187
           1      49.719    0.067639
           1     52.6739   0.0689601
           1     55.0878   0.0697757
           1     57.1292    0.070315
           1     58.7398   0.0706096
           1     59.9948   0.0707564
           1      61.019   0.0708322
           1     61.7393   0.0708458
           1     62.2986   0.0708397
           1     62.6782   0.0708233
           1     62.9689    0.070806
           1     63.2078   0.0707895
           1     63.3782   0.0707755
           1     63.4917   0.0707651
           1     63.5699   0.0707574
           1     63.6364   0.0707507
           1     63.6861   0.0707456
           1     63.7274   0.0707412
           1     63.7638   0.0707373
           1     63.8203   0.0707315
           1     63.9096   0.0707229
           1     63.9969   0.0707144
           1     64.0931   0.0707051
           1      64.251   0.0706916
           1     64.4239   0.0706772
           1     64.6142   0.0706619
           1     64.8637   0.0706443
           1     65.2139   0.0706257
           1     65.6828   0.0706103
           1      66.283    0.070604
           1     67.0233   0.0706137
           1     67.8277   0.0706322
           1     68.7287    0.070667
           1     69.6915   0.0707131
           1     70.6801   0.0707631
           1     71.7033   0.0708194
           1     72.6822   0.0708638
           1     73.6476   0.0709036
           1     74.5481   0.0709289
           1     75.4242   0.0709484
           1     76.1946     0.07095
           1     76.8994   0.0709425
           1     77.4882   0.0709235
           1     77.9898   0.0708991
           1     78.3725   0.0708722
           1     78.6855   0.0708461
           1     78.9574   0.0708213
           1     79.2059   0.0707975
           1     79.4151    0.070776
           1     79.5818   0.0707575
           1     79.7823   0.0707363
           1     80.0284   0.0707123
           1     80.3358   0.0706854
           1      80.718   0.0706568
           1     81.1946   0.0706287
           1     81.8451   0.0706098
           1     82.7049   0.0706154
           1     83.7874   0.0706633
           1      85.131   0.0707818
           1     86.7267    0.070989
           1     88.6237    0.071329
           1     90.7806   0.0718037
           1     93.1218   0.0723808
           1     95.6155   0.0730453
           1     98.2767   0.0738116
           1     100.931   0.0745531
           1     103.587   0.0752771
           1     106.103   0.0758879
           1     108.571   0.0764524
           1     110.928   0.0769363
           1     113.019   0.0772655
           1     114.826   0.0774607
           1     116.367   0.0775562
           1      117.61   0.0775709
           1      118.65   0.0775472
           1     119.523   0.0775025
           1     120.283   0.0774487
           1      120.93   0.0773903
           1     121.492   0.0773312
           1      122.01   0.0772726
           1     122.519   0.0772139
           1     122.991   0.0771561
           1     123.503   0.0770963
           1     124.073   0.0770346
           1     124.683   0.0769718
           1     125.422   0.0769104
           1     126.226    0.076851
           1     127.081   0.0767938
           1     127.997   0.0767402
           1     128.929   0.0766866
           1     129.922   0.0766378
           1     130.915   0.0765874
           1     131.889   0.0765334
           1     132.771   0.0764698
           1      133.59   0.0764011
           1     134.392   0.0763305
           1     135.118   0.0762565
           1     135.789   0.0761813
           1     136.403    0.076106
           1     137.003   0.0760304
           1     137.575    0.075955
           1     138.143   0.0758792
           1     138.731    0.075802
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2  0.00110536 1.10259e-05
           2   0.0132336 0.000121425
           2   0.0478764 0.000365647
           2    0.118379 0.000790508
           2    0.343013  0.00237047
           2    0.758168  0.00475667
           2     1.39351  0.00789353
           2     2.39822   0.0127023
           2      3.7504   0.0184399
           2      5.3623   0.0243415
           2     7.25231   0.0306235
           2     9.46618   0.0375422
           2     11.7878   0.0438602
           2      14.249   0.0499744
           2     16.6719   0.0552001
           2     18.9535   0.0593881
           2       21.19   0.0631051
           2     23.2062    0.065909
           2      24.865   0.0676706
           2     26.3257   0.0689584
           2     27.5901   0.0698647
           2     28.5789   0.0703638
           2     29.3734   0.0706483
           2      29.984   0.0707837
           2     30.4661   0.0708449
           2     30.8346    0.070861
           2      31.116   0.0708554
           2     31.3375   0.0708412
           2     31.5081   0.0708239
           2     31.6356    0.070807
           2     31.7236   0.0707928
           2     31.7759    0.070783
           2     31.8086   0.0707764
           2     31.8342   0.0707711
           2     31.8447   0.0707688
           2     31.8637   0.0707648
           2     31.8752   0.0707623
           2     31.8969   0.0707577
           2     31.9296   0.0707511
           2     31.9673   0.0707436
           2      32.032   0.0707319
           2     32.1142   0.0707181
           2     32.2118   0.0707026
           2     32.3434   0.0706848
           2     32.5161   0.0706663
           2     32.7258    0.070649
           2     32.9888   0.0706368
           2     33.2815   0.0706288
           2     33.6283   0.0706318
           2     34.0067   0.0706426
           2      34.417   0.0706624
           2     34.8804   0.0707007
           2     35.3468   0.0707387
           2     35.8405   0.0707867
           2     36.3571   0.0708435
           2     36.8552   0.0708899
           2     37.2774   0.0709053
           2     37.6801   0.0709132
           2     38.0568   0.0709127
           2     38.4025   0.0709038
           2     38.7085   0.0708866
           2     38.9411    0.070861
           2     39.1457   0.0708342
           2     39.3101   0.0708078
           2     39.4557   0.0707822
           2     39.5764   0.0707588
           2      39.678   0.0707377
           2     39.7733   0.0707173
           2     39.8685   0.0706969
           2     39.9953   0.0706725
           2     40.1463   0.0706458
           2     40.3346   0.0706173
           2     40.5749   0.0705893
           2     40.8972   0.0705699
           2     41.3245   0.0705748
           2     41.8567   0.0706186
           2     42.5098   0.0707255
           2     43.3312   0.0709529
           2     44.2711   0.0712845
           2     45.3494   0.0717595
           2     46.4996   0.0723111
           2     47.7756   0.0730177
           2     49.1299   0.0738199
           2     50.4922   0.0746129
           2     51.8194   0.0753349
           2     53.1024   0.0759779
           2     54.3296   0.0765332
           2     55.4338   0.0769328
           2     56.4444   0.0772287
           2      57.355   0.0774297
           2     58.1605   0.0775482
           2     58.8529   0.0775961
           2     59.4045    0.077582
           2     59.8504   0.0775388
           2     60.2173   0.0774835
           2       60.52   0.0774247
           2      60.794   0.0773659
           2     61.0393   0.0773082
           2     61.2584   0.0772525
           2      61.473   0.0771971
           2     61.7241   0.0771377
           2     61.9816   0.0770774
           2     62.2574   0.0770156
           2     62.6129   0.0769535
           2     63.0183   0.0768948
           2     63.4489   0.0768383
           2     63.9257   0.0767887
           2     64.4463   0.0767475
           2     64.9389    0.076698
           2     65.4342   0.0766474
           2     65.9168   0.0765926
           2     66.3736   0.0765315
           2     66.8063   0.0764656
           2     67.2143   0.0763956
           2      67.605   0.0763231
           2     67.9649   0.0762481
           2     68.2748   0.0761726
           2     68.5602   0.0760979
           2     68.8545   0.0760219
           2     69.1509   0.0759451
           2     69.4479   0.0758676
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3  0.00387347 5.79566e-05
           3  0.00884758 9.40993e-05
           3   0.0154956 0.000136444
           3   0.0337264 0.000303954
           3   0.0952266 0.000966685
           3    0.243104  0.00240799
           3    0.496799   0.0044798
           3    0.916734  0.00768625
           3     1.56915   0.0123704
           3      2.4384   0.0178638
           3     3.60012   0.0247968
           3     4.87906   0.0311562
           3     6.37729    0.038168
           3     8.01196   0.0450729
           3     9.68963   0.0512975
           3     11.3053   0.0563969
           3     12.8256   0.0604927
           3     14.2363   0.0637512
           3     15.5223   0.0662814
           3     16.6362   0.0680599
           3     17.5445   0.0691581
           3     18.3177    0.069901
           3      18.939   0.0703347
           3     19.4436   0.0705865
           3     19.8428   0.0707155
           3     20.1764   0.0707863
           3     20.4658   0.0708259
           3       20.68   0.0708288
           3     20.8581   0.0708204
           3     20.9746   0.0708033
           3     21.0576   0.0707865
           3     21.1241   0.0707712
           3     21.1666   0.0707598
           3     21.1982   0.0707508
           3     21.2217   0.0707437
           3     21.2379   0.0707387
           3     21.2477   0.0707355
           3       21.26   0.0707316
           3     21.2791   0.0707257
           3     21.3013    0.070719
           3     21.3388   0.0707085
           3     21.3977    0.070694
           3     21.4677   0.0706779
           3     21.5488   0.0706606
           3     21.6519   0.0706421
           3     21.7596   0.0706233
           3     21.8955   0.0706055
           3     22.0569   0.0705905
           3     22.2341    0.070578
           3     22.4335   0.0705704
           3      22.677   0.0705773
           3     22.9291    0.070587
           3      23.229     0.07062
           3     23.5515   0.0706655
           3     23.8695   0.0707064
           3     24.1758   0.0707387
           3     24.4879   0.0707728
           3     24.8042   0.0708079
           3     25.0804   0.0708196
           3     25.3491   0.0708267
           3     25.5859     0.07082
           3     25.7859   0.0708019
           3     25.9595   0.0707784
           3     26.1114   0.0707522
           3     26.2174    0.070726
           3     26.3059   0.0707015
           3     26.3825   0.0706787
           3     26.4537   0.0706568
           3     26.5203   0.0706358
           3     26.5939   0.0706133
           3     26.6771    0.070589
           3     26.7818   0.0705619
           3     26.9059   0.0705333
           3     27.0793   0.0705066
           3     27.3116   0.0704919
           3     27.5954   0.0704961
           3     27.9468   0.0705374
           3     28.3991   0.0706604
           3     28.9288   0.0708651
           3     29.5408    0.071175
           3     30.2464   0.0716271
           3     31.0094   0.0721724
           3      31.822   0.0728009
           3     32.6822   0.0735122
           3     33.5695   0.0742634
           3     34.4644   0.0750116
           3     35.3401   0.0757003
           3     36.1778   0.0762957
           3      36.963   0.0767797
           3      37.654    0.077101
           3     38.2634    0.077305
