#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.800127    0.800127           0
           2    0.801843    0.800985  0.00060665
           3    0.789221    0.797064  0.00322712
           4    0.798792    0.797496  0.00244908
           5    0.798632    0.797723  0.00196977
           6     0.79894    0.797926  0.00165189
           7    0.802167    0.798532  0.00152298
           8    0.799942    0.798708  0.00134276
           9    0.797907    0.798619  0.00119651
          10    0.798258    0.798583  0.00107741
          11    0.798739    0.798597 0.000979553
          12    0.795392     0.79833 0.000933639
          13    0.796066    0.798156 0.000877913
          14    0.810086    0.799008  0.00115709
          15    0.803357    0.799298  0.00111568
          16     0.79848    0.799247  0.00104712
          17    0.802674    0.799448  0.00100475
          18    0.798821    0.799414  0.00094953
          19    0.799113    0.799398 0.000899686
          20    0.800829    0.799469 0.000857544
          21    0.796762     0.79934 0.000826339
          22    0.798467    0.799301 0.000789733
          23     0.79643    0.799176 0.000765199
          24     0.80274    0.799324 0.000747589
          25    0.791215       0.799 0.000784913
          26    0.805172    0.799237 0.000789807
          27    0.794739    0.799071 0.000777928
          28    0.804223    0.799255 0.000771599
          29    0.795176    0.799114 0.000757705
          30    0.796408    0.799024 0.000737798
          31    0.807006    0.799281 0.000757595
          32    0.792548    0.799071 0.000762584
          33    0.801682     0.79915  0.00074357
          34    0.792475    0.798954 0.000747166
          35    0.806567    0.799171  0.00075682
          36    0.795939    0.799082 0.000741104
          37    0.805835    0.799264 0.000743212
          38    0.797562    0.799219 0.000725002
          39    0.785736    0.798874 0.000784521
          40    0.805332    0.799035 0.000781345
          41    0.784834    0.798689 0.000835542
          42    0.810142    0.798961 0.000858999
          43    0.802096    0.799034 0.000842109
          44    0.797619    0.799002 0.000823585
          45    0.800361    0.799032 0.000805837
          46     0.79788    0.799007 0.000788708
          47    0.801723    0.799065  0.00077404
          48    0.795021    0.798981 0.000762485
          49     0.80128    0.799028 0.000748366
          50    0.793081    0.798909 0.000742791
          51    0.802229    0.798974 0.000731074
          52    0.800058    0.798995 0.000717312
          53    0.789576    0.798817 0.000725456
          54    0.801808    0.798872 0.000714133
          55    0.793658    0.798778 0.000707413
          56    0.797725    0.798759  0.00069503
          57    0.805704    0.798881 0.000693434
          58    0.795311    0.798819 0.000684204
          59    0.804655    0.798918  0.00067972
          60    0.796002    0.798869 0.000670127
          61    0.807335    0.799008  0.00067336
          62    0.791711     0.79889 0.000672706
          63    0.808275    0.799039 0.000678321
          64    0.797321    0.799013 0.000668254
          65    0.788823    0.798856 0.000676109
          66    0.802213    0.798907 0.000667776
          67    0.794904    0.798847 0.000660476
          68    0.800098    0.798865  0.00065102
          69    0.799971    0.798881 0.000641782
          70    0.791012    0.798769 0.000642384
          71    0.798171    0.798761 0.000633391
          72    0.801048    0.798792 0.000625391
          73    0.797189     0.79877 0.000617209
          74    0.792524    0.798686 0.000614614
          75    0.809594    0.798831 0.000623389
          76    0.803226    0.798889 0.000617863
          77    0.800594    0.798911 0.000610235
          78    0.793106    0.798837 0.000606933
          79    0.803304    0.798893 0.000601878
          80     0.80158    0.798927 0.000595291
          81    0.793081    0.798855 0.000592301
          82    0.803131    0.798907 0.000587369
          83    0.798763    0.798905 0.000580294
          84    0.803464     0.79896 0.000575919
          85    0.794617    0.798908 0.000571405
          86    0.794013    0.798852 0.000567589
          87    0.793889    0.798795 0.000563925
          88    0.796313    0.798766 0.000558221
          89    0.799441    0.798774    0.000552
          90    0.797333    0.798758 0.000546099
          91     0.80272    0.798801 0.000541831
          92    0.793328    0.798742 0.000539199
          93    0.800667    0.798763 0.000533798
          94    0.794092    0.798713 0.000530427
          95    0.803546    0.798764 0.000527278
          96    0.796479     0.79874 0.000522322
          97    0.800497    0.798758 0.000517251
          98    0.797252    0.798743 0.000512201
          99    0.804359    0.798799  0.00051016
         100    0.794974    0.798761  0.00050649
