#   N_BLOCK:  ACCEPTANCE:
           1     0.61375
           2    0.613463
           3    0.613738
           4    0.614089
           5    0.614198
           6    0.614238
           7    0.614262
           8    0.614172
           9    0.614112
          10    0.614261
          11     0.61398
          12    0.614343
          13     0.61445
          14    0.614591
          15    0.614363
          16    0.614328
          17    0.614242
          18    0.614137
          19    0.614197
          20    0.614017
          21    0.614059
          22     0.61401
          23    0.614129
          24    0.614082
          25    0.614006
          26    0.614131
          27     0.61408
          28    0.614115
          29    0.614162
          30    0.614159
          31    0.614124
          32    0.613967
          33    0.613914
          34     0.61399
          35    0.613881
          36    0.613908
          37    0.613838
          38    0.613919
          39    0.613899
          40    0.613888
          41    0.613952
          42    0.613979
          43    0.614014
          44    0.613965
          45    0.613966
          46     0.61396
          47     0.61392
          48     0.61396
          49     0.61403
          50    0.614087
          51    0.614101
          52    0.614207
          53    0.614231
          54    0.614281
          55    0.614239
          56    0.614159
          57    0.614204
          58    0.614172
          59    0.614138
          60     0.61412
          61    0.614096
          62    0.614066
          63    0.614054
          64    0.614052
          65    0.614088
          66    0.614139
          67    0.614175
          68    0.614196
          69    0.614229
          70    0.614247
          71    0.614239
          72    0.614244
          73    0.614226
          74    0.614251
          75    0.614277
          76    0.614244
          77    0.614221
          78    0.614275
          79    0.614319
          80    0.614339
          81    0.614326
          82    0.614367
          83    0.614378
          84    0.614368
          85    0.614376
          86    0.614401
          87    0.614408
          88    0.614414
          89    0.614426
          90    0.614406
          91    0.614383
          92    0.614349
          93    0.614364
          94     0.61435
          95    0.614344
          96    0.614347
          97    0.614373
          98    0.614371
          99    0.614417
         100    0.614437
