#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.38358     1.38358           0
           2     1.38508     1.38433 0.000532678
           3     1.38949     1.38605  0.00144904
           4     1.38566     1.38595  0.00109001
           5     1.38349     1.38546 0.000977433
           6     1.38203     1.38489 0.000967622
           7     1.38523     1.38494 0.000830587
           8      1.3837     1.38478 0.000740988
           9     1.38768      1.3851  0.00072533
          10     1.38446     1.38504 0.000655638
          11     1.38216     1.38478 0.000646298
          12     1.38833     1.38507 0.000656779
          13     1.38414       1.385 0.000610176
          14     1.38907     1.38529 0.000632067
          15     1.38145     1.38504 0.000639692
          16     1.38123      1.3848 0.000642387
          17     1.38268     1.38468 0.000616528
          18     1.38069     1.38445  0.00062067
          19     1.38185     1.38432 0.000602994
          20     1.38107     1.38415 0.000594287
          21     1.38223     1.38406 0.000572988
          22     1.38218     1.38398 0.000553299
          23     1.39121     1.38429 0.000612162
          24     1.38495     1.38432 0.000587278
          25     1.38181     1.38422 0.000572298
          26     1.39392     1.38459 0.000660823
          27     1.38488      1.3846 0.000636432
          28     1.38405     1.38458 0.000614012
          29      1.3853     1.38461 0.000593334
          30     1.38674     1.38468 0.000577803
          31     1.38715     1.38476 0.000564626
          32     1.37729     1.38452 0.000593272
          33     1.38214     1.38445 0.000579676
          34     1.38833     1.38457 0.000573727
          35     1.38138     1.38448 0.000564528
          36     1.38861     1.38459 0.000560398
          37     1.37748      1.3844 0.000577221
          38     1.38894     1.38452 0.000574293
          39     1.37752     1.38434 0.000586911
          40      1.3841     1.38433 0.000572269
          41     1.38483     1.38434 0.000558439
          42     1.38607     1.38439 0.000546652
          43     1.38453     1.38439 0.000533949
          44     1.38348     1.38437 0.000522215
          45     1.38487     1.38438 0.000510727
          46     1.38386     1.38437 0.000499748
          47     1.38445     1.38437 0.000489118
          48     1.38845     1.38446 0.000486272
          49     1.38927     1.38455 0.000486171
          50     1.38757     1.38461 0.000480171
          51     1.38876     1.38469 0.000477601
          52     1.39178     1.38483 0.000487491
          53     1.38944     1.38492 0.000485973
          54     1.39091     1.38503 0.000489484
          55     1.37995     1.38494 0.000489213
          56     1.37788     1.38481 0.000496441
          57     1.38686     1.38485 0.000489037
          58     1.38531     1.38485 0.000480671
          59     1.38199     1.38481 0.000474976
          60     1.38258     1.38477 0.000468506
          61     1.38451     1.38477 0.000460844
          62     1.38561     1.38478 0.000453615
          63     1.38398     1.38477 0.000446593
          64     1.38461     1.38476 0.000439622
          65     1.38354     1.38474 0.000433263
          66     1.38109     1.38469 0.000430226
          67     1.38703     1.38472 0.000425216
          68     1.38818     1.38477  0.00042198
          69     1.38638      1.3848 0.000416502
          70      1.3874     1.38484 0.000412213
          71     1.38408     1.38482 0.000406542
          72     1.38598     1.38484 0.000401212
          73     1.38428     1.38483 0.000395791
          74     1.38753     1.38487 0.000392114
          75     1.38566     1.38488 0.000387027
          76     1.38296     1.38485 0.000382762
          77     1.38319     1.38483 0.000378397
          78     1.38952     1.38489 0.000378287
          79     1.38934     1.38495 0.000377669
          80     1.38427     1.38494 0.000373045
          81     1.38495     1.38494 0.000368439
          82     1.38679     1.38496 0.000364638
          83     1.38427     1.38496 0.000360341
          84     1.38539     1.38496 0.000356089
          85      1.3874     1.38499 0.000353051
          86     1.38183     1.38495 0.000350851
          87     1.38497     1.38495 0.000346818
          88     1.38594     1.38496  0.00034306
          89     1.38857       1.385 0.000341595
          90     1.37944     1.38494 0.000343353
          91     1.38762     1.38497 0.000340834
          92     1.38006     1.38492 0.000341288
          93     1.38799     1.38495 0.000339211
          94      1.3856     1.38496 0.000335672
          95     1.38408     1.38495 0.000332266
          96     1.38671     1.38497 0.000329309
          97     1.38551     1.38497 0.000325961
          98     1.38535     1.38498 0.000322657
          99     1.38721       1.385 0.000320186
         100     1.38888     1.38504 0.000319323
