# DISTANCE:     AVE_GOFR:        ERROR:
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1 0.000186107 9.28208e-07
           1  0.00289796 1.35525e-05
           1   0.0120343 4.74702e-05
           1   0.0427815 0.000160242
           1    0.143627 0.000526854
           1    0.367187  0.00122995
           1    0.807733     0.00251
           1      1.5034  0.00426592
           1     2.51182  0.00656618
           1     3.84973  0.00931669
           1     5.53511   0.0124834
           1     7.50541   0.0158012
           1     9.70858   0.0191386
           1     12.1056   0.0224363
           1     14.6237   0.0255635
           1     17.1671   0.0283745
           1     19.7095   0.0309029
           1     22.2375   0.0331889
           1     24.6943    0.035185
           1      27.065   0.0369209
           1     29.3478   0.0384361
           1     31.5095   0.0397205
           1     33.5739   0.0408347
           1     35.5225   0.0417799
           1     37.3564   0.0425786
           1     39.0963   0.0432665
           1      40.723   0.0438396
           1     42.2985   0.0443578
           1     43.7502   0.0447737
           1      45.169    0.045158
           1     46.4926   0.0454739
           1     47.7498   0.0457447
           1      48.908   0.0459578
           1     50.0187   0.0461435
           1     51.0683    0.046298
           1     52.0639   0.0464268
           1     53.0285   0.0465407
           1     53.9353   0.0466313
           1     54.8172   0.0467111
           1     55.6775   0.0467819
           1     56.4823   0.0468344
           1     57.2751   0.0468818
           1     58.0345   0.0469188
           1     58.7979   0.0469552
           1     59.5237   0.0469811
           1     60.2451   0.0470047
           1     60.9429   0.0470217
           1     61.6311   0.0470355
           1     62.3205   0.0470482
           1     62.9933   0.0470565
           1     63.6648   0.0470633
           1      64.332   0.0470681
           1      64.991   0.0470703
           1     65.6597    0.047073
           1     66.3337   0.0470755
           1     67.0099   0.0470772
           1     67.6667   0.0470744
           1     68.3465   0.0470743
           1      69.022   0.0470723
           1     69.6965   0.0470688
           1     70.3791   0.0470656
           1     71.0949   0.0470672
           1     71.8134    0.047068
           1     72.5367   0.0470683
           1     73.2746     0.04707
           1     74.0291   0.0470736
           1     74.7941   0.0470779
           1     75.5847    0.047086
           1       76.37   0.0470913
           1     77.1976   0.0471044
           1     78.0356   0.0471182
           1     78.8979   0.0471359
           1     79.7815   0.0471571
           1     80.6817   0.0471804
           1     81.6016   0.0472069
           1      82.559   0.0472415
           1     83.5166   0.0472737
           1     84.4877   0.0473073
           1     85.4856   0.0473464
           1      86.549   0.0474034
           1     87.5984   0.0474528
           1     88.6802   0.0475099
           1     89.7594   0.0475629
           1     90.8748   0.0476251
           1     92.0041   0.0476888
           1      93.146   0.0477534
           1     94.2887   0.0478148
           1     95.4773   0.0478893
           1     96.6617   0.0479584
           1     97.8537   0.0480265
           1     99.0441   0.0480903
           1     100.251   0.0481562
           1     101.474   0.0482244
           1     102.688   0.0482852
           1     103.905   0.0483429
           1     105.116    0.048395
           1     106.331   0.0484443
           1      107.53   0.0484846
           1     108.743   0.0485257
           1     109.948   0.0485604
           1      111.13   0.0485834
           1     112.301   0.0485998
           1     113.467   0.0486109
           1     114.617   0.0486137
           1     115.753    0.048609
           1     116.871   0.0485962
           1     117.976   0.0485765
           1     119.076   0.0485524
           1     120.156     0.04852
           1     121.235   0.0484845
           1     122.278   0.0484374
           1     123.325   0.0483886
           1     124.353   0.0483326
           1     125.361   0.0482698
           1     126.338   0.0481987
           1       127.3   0.0481222
           1     128.281   0.0480465
           1     129.236   0.0479637
           1     130.189   0.0478781
           1     131.136   0.0477891
           1     132.053   0.0476934
           1     132.985   0.0475972
           1      133.91   0.0474976
           1     134.816   0.0473932
           1     135.696   0.0472834
           1     136.594   0.0471733
           1     137.488   0.0470603
           1     138.376   0.0469442
           1     139.253   0.0468247
           1     140.139   0.0467037
           1     141.021   0.0465798
           1     141.902   0.0464535
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2 9.30537e-05 9.28208e-07
           2  0.00072582  6.3751e-06
           2  0.00582107 5.11871e-05
           2   0.0235007 0.000183352
           2   0.0779941 0.000572543
           2    0.198826  0.00133083
           2    0.422482  0.00258918
           2    0.772999  0.00433365
           2     1.28997  0.00670618
           2     1.97506  0.00952835
           2     2.83093   0.0127273
           2     3.83819   0.0161271
           2     4.96881   0.0195687
           2      6.1746   0.0228388
           2     7.45148   0.0259991
           2     8.72489   0.0287717
           2     10.0036   0.0312943
           2     11.2622   0.0335315
           2     12.5079   0.0355632
           2     13.6688   0.0372065
           2     14.7975   0.0386737
           2     15.8648   0.0399149
           2     16.8758   0.0409738
           2     17.8252   0.0418631
           2     18.7193    0.042616
           2     19.5718   0.0432721
           2     20.3748   0.0438283
           2     21.1254    0.044291
           2     21.8461   0.0447006
           2     22.5097   0.0450273
           2     23.1412   0.0453093
           2     23.7426   0.0455522
           2     24.3112   0.0457566
           2     24.8537   0.0459322
           2     25.3711   0.0460818
           2     25.8698   0.0462129
           2     26.3285    0.046311
           2     26.7948   0.0464119
           2     27.2452   0.0464992
           2     27.6795   0.0465737
           2     28.0994   0.0466372
           2     28.5069   0.0466916
           2     28.9001   0.0467362
           2     29.2789   0.0467718
           2     29.6451   0.0467999
           2     30.0229   0.0468319
           2       30.38   0.0468529
           2     30.7388   0.0468733
           2     31.0959   0.0468916
           2     31.4505   0.0469074
           2     31.7883   0.0469152
           2      32.127   0.0469221
           2     32.4626   0.0469266
           2     32.8019   0.0469313
           2     33.1407   0.0469345
           2     33.4838   0.0469382
           2     33.8257   0.0469402
           2     34.1649   0.0469399
           2     34.5126   0.0469415
           2     34.8612   0.0469421
           2     35.2156   0.0469436
           2     35.5746   0.0469456
           2     35.9366   0.0469473
           2     36.2987   0.0469476
           2     36.6688   0.0469497
           2     37.0448   0.0469527
           2     37.4368   0.0469608
           2     37.8297   0.0469678
           2     38.2326   0.0469775
           2     38.6491   0.0469917
           2     39.0696    0.047006
           2     39.5007   0.0470235
           2     39.9413   0.0470438
           2     40.3875   0.0470649
           2      40.836   0.0470851
           2     41.2919    0.047107
           2     41.7696   0.0471387
           2     42.2569   0.0471734
           2     42.7559   0.0472125
           2     43.2702   0.0472583
           2     43.7844   0.0473012
           2     44.3155   0.0473521
           2     44.8502   0.0474022
           2     45.4009   0.0474599
           2     45.9672   0.0475252
           2     46.5343   0.0475875
           2     47.1153   0.0476563
           2      47.695   0.0477206
           2     48.2927   0.0477942
           2      48.889   0.0478631
           2     49.5007   0.0479395
           2     50.1067   0.0480077
           2     50.7178   0.0480758
           2     51.3343   0.0481438
           2     51.9555   0.0482114
           2     52.5675   0.0482681
           2      53.174   0.0483169
           2     53.7752   0.0483582
           2     54.3791   0.0483976
           2     54.9821   0.0484326
           2     55.5732    0.048456
           2     56.1548   0.0484698
           2     56.7366   0.0484802
           2     57.3145   0.0484847
           2      57.881   0.0484792
           2     58.4286     0.04846
           2     58.9754   0.0484374
           2     59.5217   0.0484113
           2     60.0543   0.0483754
           2     60.5828   0.0483345
           2      61.102   0.0482866
           2     61.6179   0.0482344
           2     62.1224   0.0481746
           2     62.6221   0.0481102
           2     63.1228   0.0480436
           2     63.6029   0.0479668
           2     64.0837   0.0478878
           2     64.5662   0.0478067
           2     65.0417   0.0477208
           2     65.5124   0.0476309
           2     65.9795   0.0475375
           2     66.4389   0.0474394
           2     66.9008   0.0473397
           2     67.3576    0.047236
           2     67.8057   0.0471279
           2     68.2608   0.0470191
           2     68.7114   0.0469067
           2     69.1599   0.0467914
           2     69.6035   0.0466726
           2     70.0455   0.0465511
           2     70.4911   0.0464279
           2     70.9348   0.0463019
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3 0.000723162 1.08203e-05
           3  0.00452995 5.79241e-05
           3   0.0165441 0.000188539
           3   0.0502148 0.000536753
           3    0.133194  0.00134916
           3    0.279833  0.00256715
           3    0.510498  0.00428446
           3    0.869767  0.00684401
           3     1.33725   0.0097392
           3     1.92319   0.0130365
           3     2.60699   0.0164824
           3     3.36532   0.0198989
           3     4.18851   0.0232688
           3     5.02077   0.0262424
           3     5.88887   0.0291131
           3     6.74111   0.0316051
           3     7.57282   0.0337806
           3     8.38226   0.0356934
           3     9.15759    0.037336
           3     9.90726   0.0387859
           3      10.614   0.0400052
           3     11.2784   0.0410289
           3     11.9046   0.0418959
           3       12.49   0.0426182
           3     13.0482    0.043248
           3     13.5736   0.0437809
           3      14.077   0.0442506
           3     14.5425   0.0446306
           3     14.9936   0.0449742
           3     15.4143   0.0452561
           3     15.8172   0.0455025
           3     16.1904   0.0456988
           3       16.55   0.0458719
           3     16.8917   0.0460178
           3     17.2204   0.0461447
           3     17.5382   0.0462562
           3     17.8454   0.0463534
           3     18.1331   0.0464287
           3     18.4206   0.0465016
           3     18.6941   0.0465597
           3      18.965   0.0466137
           3     19.2295   0.0466606
           3     19.4813    0.046696
           3     19.7391   0.0467343
           3     19.9842   0.0467617
           3     20.2237   0.0467838
           3     20.4678   0.0468077
           3     20.6965   0.0468203
           3     20.9288   0.0468338
           3      21.158   0.0468441
           3     21.3889   0.0468541
           3     21.6241   0.0468656
           3     21.8539   0.0468724
           3     22.0837   0.0468779
           3       22.31   0.0468803
           3     22.5402   0.0468836
           3     22.7705   0.0468857
           3     23.0042   0.0468884
           3     23.2346    0.046888
           3     23.4703   0.0468892
           3     23.7105   0.0468917
           3     23.9568   0.0468963
           3     24.2092   0.0469034
           3     24.4583   0.0469068
           3     24.7084   0.0469093
           3     24.9642   0.0469139
           3     25.2301   0.0469234
           3     25.4974   0.0469322
           3     25.7702    0.046943
           3      26.055   0.0469605
           3     26.3464    0.046981
           3     26.6388   0.0470002
           3     26.9448   0.0470281
           3     27.2523    0.047055
           3     27.5656   0.0470843
           3     27.8836   0.0471153
           3     28.2131   0.0471539
           3     28.5529   0.0471992
           3     28.8943   0.0472432
           3     29.2436    0.047292
           3     29.5979   0.0473426
           3     29.9588   0.0473967
           3     30.3297   0.0474578
