# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0128248           0           0
   0.0256496           0           0
   0.0384745           0           0
   0.0512993           0           0
   0.0641241           0           0
   0.0769489           0           0
   0.0897737           0           0
    0.102599           0           0
    0.115423           0           0
    0.128248           0           0
    0.141073           0           0
    0.153898           0           0
    0.166723           0           0
    0.179547           0           0
    0.192372           0           0
    0.205197           0           0
    0.218022           0           0
    0.230847           0           0
    0.243672           0           0
    0.256496           0           0
    0.269321           0           0
    0.282146           0           0
    0.294971           0           0
    0.307796           0           0
     0.32062           0           0
    0.333445           0           0
     0.34627           0           0
    0.359095           0           0
     0.37192           0           0
    0.384745           0           0
    0.397569           0           0
    0.410394           0           0
    0.423219           0           0
    0.436044           0           0
    0.448869           0           0
    0.461694           0           0
    0.474518           0           0
    0.487343           0           0
    0.500168           0           0
    0.512993           0           0
    0.525818           0           0
    0.538642           0           0
    0.551467           0           0
    0.564292           0           0
    0.577117           0           0
    0.589942           0           0
    0.602767           0           0
    0.615591           0           0
    0.628416           0           0
    0.641241           0           0
    0.654066           0           0
    0.666891           0           0
    0.679715           0           0
     0.69254           0           0
    0.705365           0           0
     0.71819           0           0
    0.731015           0           0
     0.74384           0           0
    0.756664           0           0
    0.769489           0           0
    0.782314           0           0
    0.795139           0           0
    0.807964           0           0
    0.820788           0           0
    0.833613           0           0
    0.846438           0           0
    0.859263 3.09758e-05  1.3609e-05
    0.872088  0.00030078 3.45311e-05
    0.884913  0.00218592 0.000100625
    0.897737   0.0106129 0.000197305
    0.910562   0.0371934 0.000430271
    0.923387     0.10243 0.000803665
    0.936212    0.225152  0.00123711
    0.949037    0.425722  0.00185827
    0.961861    0.699662  0.00234615
    0.974686     1.02466  0.00273842
    0.987511     1.36862  0.00314835
     1.00034     1.70909  0.00335478
     1.01316     2.01128  0.00357112
     1.02599     2.24904  0.00344632
     1.03881     2.42245  0.00318003
     1.05164     2.52664  0.00365222
     1.06446     2.57337  0.00338521
     1.07728     2.56815  0.00277336
     1.09011     2.53027  0.00306866
     1.10293      2.4565   0.0029613
