#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.48268    -5.48268           0
           2    -5.45038    -5.46653   0.0114209
           3    -5.43448    -5.45585   0.0115786
           4    -5.42723    -5.44869   0.0106671
           5    -5.46675     -5.4523   0.0091247
           6    -5.45538    -5.45282  0.00761828
           7    -5.48488     -5.4574  0.00778576
           8    -5.46847    -5.45878  0.00693442
           9    -5.46068    -5.45899  0.00616714
          10    -5.46554    -5.45965  0.00558511
          11    -5.48909    -5.46232  0.00568264
          12    -5.47919    -5.46373  0.00538002
          13    -5.43658    -5.46164  0.00535619
          14    -5.47936    -5.46291  0.00512101
          15    -5.47837    -5.46394  0.00488222
          16    -5.45954    -5.46366  0.00458481
          17    -5.45544    -5.46318  0.00434055
          18     -5.4727    -5.46371  0.00413152
          19    -5.48039    -5.46459  0.00400631
          20    -5.43856    -5.46328  0.00401183
          21    -5.49152    -5.46463  0.00403981
          22    -5.46651    -5.46471  0.00385709
          23    -5.46523    -5.46474  0.00368946
          24    -5.48566    -5.46561  0.00363731
          25     -5.4748    -5.46598  0.00351036
          26    -5.49945    -5.46726  0.00360376
          27    -5.47379    -5.46751   0.0034784
          28    -5.50467    -5.46883  0.00359855
          29    -5.47235    -5.46895   0.0034765
          30    -5.48041    -5.46934  0.00338152
          31    -5.49715    -5.47023  0.00338941
          32    -5.46001    -5.46991  0.00329852
          33    -5.44046    -5.46902  0.00331713
          34    -5.46805    -5.46899  0.00321969
          35    -5.49031     -5.4696   0.0031848
          36     -5.4834    -5.46999  0.00311932
          37    -5.47054       -5.47  0.00303505
          38    -5.46324    -5.46982  0.00296039
          39    -5.44222    -5.46911   0.0029679
          40    -5.47164    -5.46918  0.00289438
          41    -5.47138    -5.46923  0.00282428
          42    -5.46495    -5.46913  0.00275887
          43    -5.46378      -5.469  0.00269752
          44    -5.45838    -5.46876  0.00264701
          45    -5.46561    -5.46869  0.00258911
          46    -5.43337    -5.46793  0.00264422
          47    -5.46665     -5.4679   0.0025881
          48    -5.45165    -5.46756  0.00255621
          49    -5.45508    -5.46731   0.0025167
          50    -5.45801    -5.46712  0.00247322
          51    -5.46711    -5.46712  0.00242472
          52    -5.46255    -5.46703  0.00237969
          53    -5.44532    -5.46662  0.00236979
          54    -5.47609     -5.4668  0.00233238
          55    -5.46564    -5.46678  0.00229007
          56    -5.45543    -5.46657  0.00225813
          57    -5.44839    -5.46625  0.00224092
          58    -5.43232    -5.46567   0.0022774
          59    -5.43495    -5.46515  0.00229756
          60     -5.5071    -5.46585  0.00236326
          61     -5.4501    -5.46559  0.00233857
          62    -5.45706    -5.46545  0.00230489
          63    -5.43723      -5.465  0.00231144
          64    -5.45236    -5.46481  0.00228375
          65    -5.46059    -5.46474  0.00224953
          66    -5.48415    -5.46504  0.00223459
          67    -5.50069    -5.46557   0.0022637
          68    -5.46225    -5.46552  0.00223094
          69    -5.47817     -5.4657  0.00220612
          70    -5.43928    -5.46532  0.00220666
          71    -5.48058    -5.46554  0.00218602
          72    -5.48865    -5.46586  0.00217909
          73    -5.46548    -5.46586  0.00214925
          74     -5.4785    -5.46603  0.00212698
          75    -5.46663    -5.46603  0.00209864
          76    -5.44094     -5.4657  0.00209684
          77    -5.48272    -5.46592  0.00208122
          78     -5.4753    -5.46605  0.00205801
          79    -5.47253    -5.46613  0.00203359
          80     -5.4798     -5.4663  0.00201534
          81    -5.43714    -5.46594  0.00202235
          82    -5.44323    -5.46566  0.00201656
          83    -5.45422    -5.46552  0.00199697
          84    -5.43063    -5.46511  0.00201594
          85     -5.4624    -5.46508  0.00199247
          86    -5.47405    -5.46518  0.00197204
          87    -5.46633    -5.46519  0.00194941
          88    -5.46989    -5.46525  0.00192799
          89    -5.46308    -5.46522  0.00190648
          90    -5.45843    -5.46515  0.00188679
          91    -5.43065    -5.46477  0.00190376
          92    -5.44314    -5.46453  0.00189753
          93    -5.45596    -5.46444  0.00187937
          94    -5.47053    -5.46451  0.00186049
          95    -5.48178    -5.46469  0.00184977
          96    -5.49296    -5.46498   0.0018538
          97    -5.47147    -5.46505   0.0018359
          98    -5.48718    -5.46527    0.001831
          99    -5.46491    -5.46527  0.00181251
         100    -5.44359    -5.46505  0.00180731
