#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
               1       0.0347993       0.0347993               0
               2       0.0360122       0.0354057     0.000428848
               3       0.0367067       0.0358394     0.000455102
               4       0.0371637       0.0361705     0.000445772
               5       0.0349001       0.0359164     0.000422872
               6       0.0358804       0.0359104     0.000352436
               7        0.034608       0.0357243     0.000347746
               8       0.0355018       0.0356965     0.000305388
               9       0.0359861       0.0357287     0.000273145
              10       0.0353593       0.0356918     0.000248316
              11       0.0347126       0.0356027     0.000241169
              12       0.0348829       0.0355428     0.000228411
              13       0.0366149       0.0356252     0.000225238
              14       0.0349211       0.0355749     0.000214692
              15       0.0349981       0.0355365     0.000203794
              16       0.0355989       0.0355404     0.000191094
              17        0.036256       0.0355825     0.000184432
              18       0.0349029       0.0355447     0.000178008
              19       0.0350414       0.0355182     0.000170599
              20       0.0368939        0.035587     0.000175388
              21       0.0340518       0.0355139     0.000181633
              22       0.0353884       0.0355082     0.000173467
              23       0.0353799       0.0355026     0.000166014
              24       0.0347306       0.0354705     0.000162184
              25       0.0348058       0.0354439      0.00015786
              26       0.0340441         0.03539     0.000160707
              27       0.0351337       0.0353805     0.000155035
              28       0.0336701       0.0353195     0.000161084
              29       0.0349791       0.0353077     0.000155956
              30       0.0348165       0.0352913     0.000151615
              31       0.0342016       0.0352562     0.000150744
              32       0.0360611       0.0352813     0.000148117
              33       0.0370048       0.0353336     0.000152558
              34       0.0352052       0.0353298     0.000148118
              35       0.0347952       0.0353145     0.000144672
              36       0.0352748       0.0353134     0.000140657
              37       0.0355218       0.0353191     0.000136968
              38       0.0352315       0.0353167     0.000133383
              39       0.0369329       0.0353582     0.000136248
              40       0.0352865       0.0353564     0.000132854
              41       0.0354149       0.0353578     0.000129621
              42       0.0354463       0.0353599     0.000126552
              43       0.0355733       0.0353649     0.000123706
              44       0.0355284       0.0353686     0.000120951
              45       0.0355765       0.0353732     0.000118351
              46       0.0369236       0.0354069     0.000120481
              47       0.0355995        0.035411     0.000117988
              48       0.0359213       0.0354217     0.000116007
              49       0.0361483       0.0354365     0.000114584
              50       0.0355896       0.0354395     0.000112333
              51       0.0355744       0.0354422     0.000110162
              52       0.0352927       0.0354393     0.000108081
              53       0.0367195       0.0354635     0.000108707
              54       0.0351672        0.035458     0.000106832
              55       0.0355288       0.0354593     0.000104898
              56       0.0361034       0.0354708     0.000103653
              57       0.0364623       0.0354882     0.000103284
              58       0.0370149       0.0355145     0.000104804
              59       0.0370039       0.0355397     0.000106024
              60         0.03372       0.0355094     0.000108508
              61       0.0361387       0.0355197     0.000107218
              62       0.0361572         0.03553     0.000105981
              63       0.0365662       0.0355465     0.000105567
              64       0.0364432       0.0355605     0.000104844
              65        0.035919        0.035566     0.000103376
              66       0.0343669       0.0355478     0.000103393
              67       0.0337841       0.0355215     0.000105148
              68       0.0355424       0.0355218     0.000103602
              69       0.0349867        0.035514     0.000102391
              70       0.0365752       0.0355292     0.000102044
              71       0.0345728       0.0355157     0.000101492
              72        0.034622       0.0355033     0.000100838
              73       0.0354125       0.0355021     9.94648e-05
              74       0.0351945       0.0354979     9.82074e-05
              75       0.0357489       0.0355013      9.6955e-05
              76       0.0368631       0.0355192     9.73211e-05
              77       0.0347618       0.0355093      9.6553e-05
              78       0.0350672       0.0355037     9.54813e-05
              79       0.0349967       0.0354973     9.44882e-05
              80       0.0351055       0.0354924     9.34339e-05
              81        0.037263       0.0355142     9.48031e-05
              82        0.036292       0.0355237     9.41203e-05
              83       0.0360458         0.03553     9.31963e-05
              84        0.037441       0.0355527     9.48228e-05
              85       0.0356553        0.035554      9.3715e-05
              86       0.0351079       0.0355488     9.27687e-05
              87       0.0357096       0.0355506     9.17208e-05
              88       0.0350679       0.0355451     9.08424e-05
              89       0.0360976       0.0355513     9.00335e-05
              90       0.0358329       0.0355545     8.90875e-05
              91        0.037188       0.0355724     8.98989e-05
              92       0.0364089       0.0355815     8.93802e-05
              93       0.0359365       0.0355853     8.85006e-05
              94       0.0357108       0.0355867     8.75692e-05
              95       0.0346973       0.0355773     8.71464e-05
              96       0.0341822       0.0355628     8.74419e-05
              97       0.0356123       0.0355633     8.65419e-05
              98       0.0343181       0.0355506     8.65865e-05
              99       0.0356859       0.0355519     8.57227e-05
             100       0.0366186       0.0355626     8.55265e-05
