#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.83268    -3.83268           0
           2    -3.80038    -3.81653   0.0114209
           3    -3.78448    -3.80585   0.0115786
           4    -3.77723    -3.79869   0.0106671
           5    -3.81675     -3.8023   0.0091247
           6    -3.80538    -3.80282  0.00761828
           7    -3.83488     -3.8074  0.00778576
           8    -3.81847    -3.80878  0.00693442
           9    -3.81068    -3.80899  0.00616714
          10    -3.81554    -3.80965  0.00558511
          11    -3.83909    -3.81232  0.00568264
          12    -3.82919    -3.81373  0.00538002
          13    -3.78658    -3.81164  0.00535619
          14    -3.82936    -3.81291  0.00512101
          15    -3.82837    -3.81394  0.00488222
          16    -3.80954    -3.81366  0.00458481
          17    -3.80544    -3.81318  0.00434055
          18     -3.8227    -3.81371  0.00413152
          19    -3.83039    -3.81459  0.00400631
          20    -3.78856    -3.81328  0.00401183
          21    -3.84152    -3.81463  0.00403981
          22    -3.81651    -3.81471  0.00385709
          23    -3.81523    -3.81474  0.00368946
          24    -3.83566    -3.81561  0.00363731
          25     -3.8248    -3.81598  0.00351036
          26    -3.84945    -3.81726  0.00360376
          27    -3.82379    -3.81751   0.0034784
          28    -3.85467    -3.81883  0.00359855
          29    -3.82235    -3.81895   0.0034765
          30    -3.83041    -3.81934  0.00338152
          31    -3.84715    -3.82023  0.00338941
          32    -3.81001    -3.81991  0.00329852
          33    -3.79046    -3.81902  0.00331713
          34    -3.81805    -3.81899  0.00321969
          35    -3.84031     -3.8196   0.0031848
          36     -3.8334    -3.81999  0.00311932
          37    -3.82054       -3.82  0.00303505
          38    -3.81324    -3.81982  0.00296039
          39    -3.79222    -3.81911   0.0029679
          40    -3.82164    -3.81918  0.00289438
          41    -3.82138    -3.81923  0.00282428
          42    -3.81495    -3.81913  0.00275887
          43    -3.81378      -3.819  0.00269752
          44    -3.80838    -3.81876  0.00264701
          45    -3.81561    -3.81869  0.00258911
          46    -3.78337    -3.81793  0.00264422
          47    -3.81665     -3.8179   0.0025881
          48    -3.80165    -3.81756  0.00255621
          49    -3.80508    -3.81731   0.0025167
          50    -3.80801    -3.81712  0.00247322
          51    -3.81711    -3.81712  0.00242472
          52    -3.81255    -3.81703  0.00237969
          53    -3.79532    -3.81662  0.00236979
          54    -3.82609     -3.8168  0.00233238
          55    -3.81564    -3.81678  0.00229007
          56    -3.80543    -3.81657  0.00225813
          57    -3.79839    -3.81625  0.00224092
          58    -3.78232    -3.81567   0.0022774
          59    -3.78495    -3.81515  0.00229756
          60     -3.8571    -3.81585  0.00236326
          61     -3.8001    -3.81559  0.00233857
          62    -3.80706    -3.81545  0.00230489
          63    -3.78723      -3.815  0.00231144
          64    -3.80236    -3.81481  0.00228375
          65    -3.81059    -3.81474  0.00224953
          66    -3.83415    -3.81504  0.00223459
          67    -3.85069    -3.81557   0.0022637
          68    -3.81225    -3.81552  0.00223094
          69    -3.82817     -3.8157  0.00220612
          70    -3.78928    -3.81532  0.00220666
          71    -3.83058    -3.81554  0.00218602
          72    -3.83865    -3.81586  0.00217909
          73    -3.81548    -3.81586  0.00214925
          74     -3.8285    -3.81603  0.00212698
          75    -3.81663    -3.81603  0.00209864
          76    -3.79094     -3.8157  0.00209684
          77    -3.83272    -3.81592  0.00208122
          78     -3.8253    -3.81605  0.00205801
          79    -3.82253    -3.81613  0.00203359
          80     -3.8298     -3.8163  0.00201534
          81    -3.78714    -3.81594  0.00202235
          82    -3.79323    -3.81566  0.00201656
          83    -3.80422    -3.81552  0.00199697
          84    -3.78063    -3.81511  0.00201594
          85     -3.8124    -3.81508  0.00199247
          86    -3.82405    -3.81518  0.00197204
          87    -3.81633    -3.81519  0.00194941
          88    -3.81989    -3.81525  0.00192799
          89    -3.81308    -3.81522  0.00190648
          90    -3.80843    -3.81515  0.00188679
          91    -3.78065    -3.81477  0.00190376
          92    -3.79314    -3.81453  0.00189753
          93    -3.80596    -3.81444  0.00187937
          94    -3.82053    -3.81451  0.00186049
          95    -3.83178    -3.81469  0.00184977
          96    -3.84296    -3.81498   0.0018538
          97    -3.82147    -3.81505   0.0018359
          98    -3.83718    -3.81527    0.001831
          99    -3.81491    -3.81527  0.00181251
         100    -3.79359    -3.81505  0.00180731
