#   N_BLOCK:  ACCEPTANCE:
           1    0.516602
           2    0.523793
           3    0.527095
           4    0.528783
           5    0.530289
           6    0.531061
           7    0.531821
           8    0.532181
           9    0.532598
          10    0.532939
          11    0.532971
          12      0.5331
          13    0.533299
          14    0.533451
          15    0.533616
          16    0.533753
          17     0.53381
          18     0.53385
          19    0.533912
          20    0.533966
          21    0.534144
          22    0.534316
          23     0.53434
          24    0.534311
          25    0.534363
          26    0.534325
          27     0.53441
          28    0.534499
          29    0.534568
          30    0.534594
          31    0.534623
          32    0.534648
          33    0.534722
          34    0.534688
          35    0.534716
          36    0.534703
          37    0.534758
          38    0.534835
          39    0.534845
          40    0.534796
          41     0.53479
          42    0.534799
          43    0.534849
          44    0.534859
          45    0.534894
          46    0.534927
          47    0.534928
          48    0.534897
          49    0.534943
          50    0.534937
          51    0.534965
          52    0.534994
          53    0.534974
          54    0.534954
          55    0.534968
          56    0.535015
          57    0.534956
          58    0.534978
          59    0.534978
          60    0.534973
          61    0.534995
          62     0.53499
          63    0.534995
          64    0.535023
          65    0.535016
          66    0.535016
          67    0.535002
          68    0.534973
          69     0.53503
          70    0.535021
          71    0.535021
          72    0.535021
          73    0.535048
          74    0.535058
          75    0.535087
          76     0.53507
          77    0.535077
          78    0.535048
          79    0.535069
          80    0.535063
          81    0.535073
          82    0.535087
          83    0.535069
          84    0.535112
          85    0.535114
          86    0.535108
          87      0.5351
          88    0.535116
          89    0.535125
          90    0.535109
          91    0.535134
          92    0.535166
          93    0.535182
          94    0.535179
          95    0.535172
          96    0.535196
          97    0.535215
          98    0.535236
          99     0.53523
         100    0.535239
