#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.951289    0.951289           0
           2    0.961983    0.956636  0.00378093
           3    0.999582    0.970952   0.0119571
           4     1.05478    0.991907   0.0202432
           5     1.08888      1.0113   0.0237314
           6     1.11031      1.0278   0.0248599
           7     1.12328     1.04144   0.0247692
           8     1.13534     1.05318   0.0242953
           9     1.15399     1.06438   0.0240396
          10     1.18709     1.07665   0.0245687
          11      1.1926     1.08719   0.0244921
          12     1.16968     1.09407   0.0233959
          13        1.16     1.09914   0.0221391
          14     1.17929     1.10486   0.0212851
          15     1.16965     1.10918   0.0202996
          16     1.17276     1.11316   0.0194158
          17     1.17583     1.11684   0.0186204
          18     1.15187     1.11879   0.0176874
          19     1.13853     1.11983    0.016787
          20     1.16155     1.12191   0.0160767
          21     1.18279     1.12481   0.0155703
          22     1.17736      1.1272   0.0150447
          23     1.15666     1.12848    0.014445
          24     1.12084     1.12816   0.0138466
          25     1.11798     1.12776   0.0132987
          26     1.14506     1.12842   0.0128039
          27     1.20208     1.13115    0.012617
          28     1.20727     1.13387   0.0124558
          29     1.20955     1.13648   0.0122966
          30     1.22102      1.1393   0.0122053
          31     1.22138     1.14194   0.0120954
          32     1.19426     1.14358   0.0118274
          33     1.20219     1.14536   0.0116016
          34      1.2091     1.14723   0.0114108
          35      1.2148     1.14916   0.0112469
          36     1.22266      1.1512   0.0111183
          37     1.22351     1.15316   0.0109882
          38     1.19854     1.15435   0.0107638
          39     1.17833     1.15497   0.0105053
          40     1.17955     1.15558   0.0102607
          41     1.18392     1.15627   0.0100336
          42     1.19249     1.15713  0.00983175
          43     1.19169     1.15794   0.0096359
          44     1.19686     1.15882  0.00945742
          45     1.20731      1.1599  0.00930843
          46     1.21596     1.16112   0.0091855
          47     1.20696     1.16209  0.00904171
          48     1.21386     1.16317  0.00891742
          49     1.21387     1.16421  0.00879524
          50     1.19861     1.16489  0.00864621
          51     1.19538     1.16549  0.00849732
          52     1.19827     1.16612  0.00835725
          53     1.18855     1.16655  0.00821027
          54     1.17783     1.16676  0.00806089
          55      1.1675     1.16677  0.00791434
          56     1.19033     1.16719  0.00778419
          57     1.19364     1.16765  0.00766144
          58     1.18564     1.16796  0.00753562
          59     1.21336     1.16873  0.00744708
          60     1.22375     1.16965  0.00737921
          61     1.21917     1.17046  0.00730276
          62     1.20209     1.17097  0.00720277
          63      1.1996     1.17143  0.00710276
          64     1.21594     1.17212  0.00702575
          65      1.2252     1.17294  0.00696496
          66     1.21465     1.17357  0.00688805
          67      1.2213     1.17428  0.00682198
          68       1.247     1.17535  0.00680495
          69     1.24411     1.17635   0.0067789
          70     1.23096     1.17713  0.00672681
          71     1.21355     1.17764  0.00665159
          72     1.20191     1.17798  0.00656774
          73     1.19266     1.17818  0.00648085
          74     1.20236     1.17851   0.0064015
          75     1.21755     1.17903  0.00633728
          76     1.20237     1.17933  0.00626133
          77      1.1872     1.17944  0.00618085
          78     1.16718     1.17928  0.00610361
          79     1.17978     1.17929  0.00602635
          80     1.19741     1.17951  0.00595528
          81     1.18195     1.17954  0.00588183
          82      1.1854     1.17961  0.00581054
          83     1.19256     1.17977  0.00574262
          84     1.18649     1.17985  0.00567482
          85     1.20729     1.18017  0.00561723
          86     1.21223     1.18055  0.00556427
          87     1.21731     1.18097  0.00551633
          88     1.21024      1.1813  0.00546367
          89     1.19499     1.18145  0.00540444
          90     1.19299     1.18158  0.00534591
          91     1.21194     1.18192  0.00529757
          92     1.18174     1.18191  0.00523998
          93      1.1881     1.18198  0.00518406
          94     1.19739     1.18214   0.0051315
          95     1.18625     1.18219  0.00507767
          96     1.16289     1.18199  0.00502875
          97     1.16375      1.1818  0.00498043
          98      1.1915      1.1819  0.00493059
          99     1.23464     1.18243  0.00490949
         100     1.24333     1.18304  0.00489802
         101     1.23192     1.18352  0.00487338
         102     1.23183       1.184  0.00484856
         103     1.20811     1.18423  0.00480714
         104     1.18948     1.18428  0.00476118
         105     1.17375     1.18418  0.00471689
         106     1.17326     1.18408  0.00467351
         107     1.19624     1.18419  0.00463122
         108     1.20136     1.18435  0.00459107
         109     1.19577     1.18446  0.00455014
         110     1.18675     1.18448  0.00450882
         111     1.19229     1.18455  0.00446875
         112     1.19483     1.18464   0.0044298
         113     1.18713     1.18466  0.00439065
         114     1.18415     1.18466  0.00435214
         115     1.19974     1.18479  0.00431627
         116     1.20953       1.185  0.00428432
         117     1.21846     1.18529  0.00425724
         118     1.22372     1.18561   0.0042336
         119     1.23125       1.186  0.00421535
         120     1.24071     1.18645  0.00420481
         121     1.26029     1.18706   0.0042141
         122      1.2581     1.18764   0.0042196
         123     1.23128       1.188  0.00420018
         124       1.222     1.18827  0.00417525
         125     1.23816     1.18867  0.00416087
         126      1.2418     1.18909  0.00414916
         127     1.22845      1.1894  0.00412804
         128     1.23546     1.18976  0.00411144
         129     1.21836     1.18999  0.00408554
         130     1.21913     1.19021  0.00406026
         131     1.21576      1.1904  0.00403395
         132     1.20393     1.19051  0.00400469
         133     1.20237      1.1906  0.00397557
         134     1.19925     1.19066  0.00394643
         135     1.19626      1.1907  0.00391741
         136     1.17744      1.1906  0.00388982
         137     1.17408     1.19048   0.0038633
         138     1.18756     1.19046  0.00383536
         139     1.21008      1.1906  0.00381036
         140        1.23     1.19089  0.00379352
         141     1.23654     1.19121  0.00378041
         142     1.21458     1.19137  0.00375737
         143      1.2187     1.19157  0.00373595
         144     1.21772     1.19175  0.00371442
         145     1.18723     1.19172  0.00368893
         146     1.18676     1.19168  0.00366382
         147     1.17919      1.1916  0.00363988
         148     1.18617     1.19156  0.00361547
         149     1.18749     1.19153  0.00359131
         150     1.18127     1.19146  0.00356802
         151      1.1967      1.1915  0.00354456
         152     1.21309     1.19164  0.00352409
         153     1.22364     1.19185  0.00350725
         154     1.21705     1.19201  0.00348829
         155     1.18973       1.192  0.00346582
         156      1.1936     1.19201  0.00344362
         157      1.2276     1.19224  0.00342914
         158     1.22172     1.19242   0.0034125
         159     1.20178     1.19248  0.00339155
         160     1.18836     1.19246  0.00337045
         161     1.18563     1.19241  0.00334978
         162     1.19289     1.19242  0.00332911
         163      1.1769     1.19232  0.00331004
         164      1.1719      1.1922   0.0032922
         165     1.18017     1.19212  0.00327305
         166     1.19486     1.19214  0.00325338
         167     1.21694     1.19229  0.00323729
         168     1.22634     1.19249  0.00322436
         169     1.22319     1.19267  0.00321039
         170     1.23234     1.19291  0.00319997
         171     1.22293     1.19308  0.00318607
         172     1.21533     1.19321  0.00317018
         173     1.24458     1.19351  0.00316573
         174     1.24275     1.19379  0.00316016
         175     1.23226     1.19401  0.00314973
         176     1.21236     1.19412  0.00313356
         177     1.20121     1.19416  0.00311612
         178     1.20172      1.1942   0.0030989
         179     1.22745     1.19438  0.00308715
         180     1.23121     1.19459  0.00307677
         181     1.24768     1.19488  0.00307372
         182     1.23702     1.19511  0.00306554
         183      1.2319     1.19531  0.00305537
         184     1.25179     1.19562  0.00305414
         185     1.25386     1.19594  0.00305381
         186     1.24188     1.19618  0.00304737
         187     1.23617      1.1964  0.00303856
         188     1.22958     1.19657  0.00302752
         189     1.23708     1.19679  0.00301908
         190     1.25753     1.19711  0.00302007
         191     1.25003     1.19738  0.00301694
         192     1.22815     1.19754  0.00300548
         193     1.19501     1.19753  0.00298994
         194     1.19588     1.19752  0.00297454
         195     1.21396     1.19761  0.00296048
         196     1.22309     1.19774  0.00294823
         197     1.20927      1.1978  0.00293385
         198     1.17553     1.19768  0.00292118
         199     1.16204      1.1975  0.00291199
         200     1.18467     1.19744  0.00289814
         201      1.1934     1.19742  0.00288379
         202     1.18975     1.19738  0.00286976
         203     1.17719     1.19728  0.00285735
         204     1.17815     1.19719  0.00284488
         205     1.19709     1.19719    0.002831
         206     1.17514     1.19708  0.00281928
         207     1.15711     1.19689  0.00281227
         208     1.16454     1.19673  0.00280304
         209     1.18728     1.19669     0.00279
         210     1.18206     1.19662  0.00277758
         211     1.19685     1.19662  0.00276442
         212     1.19399     1.19661  0.00275141
         213     1.19441      1.1966  0.00273851
         214     1.20093     1.19662  0.00272579
         215     1.18626     1.19657  0.00271353
         216     1.17585     1.19647  0.00270267
         217     1.19487     1.19646  0.00269022
         218     1.21387     1.19654  0.00267906
         219     1.19896     1.19656  0.00266685
         220     1.21554     1.19664  0.00265613
         221     1.22976     1.19679  0.00264833
         222     1.24171     1.19699  0.00264412
         223     1.23429     1.19716  0.00263755
         224      1.2303     1.19731  0.00262992
         225      1.2313     1.19746  0.00262257
         226     1.25348     1.19771  0.00262265
         227     1.24452     1.19791   0.0026192
         228     1.20946     1.19797   0.0026082
         229     1.19636     1.19796  0.00259682
         230     1.19522     1.19795  0.00258555
         231     1.18155     1.19788  0.00257533
         232     1.19121     1.19785  0.00256439
         233     1.19927     1.19785   0.0025534
         234     1.20246     1.19787  0.00254256
         235     1.18995     1.19784  0.00253196
         236      1.1734     1.19774  0.00252335
         237      1.1736     1.19763  0.00251476
         238     1.18242     1.19757    0.002505
         239     1.18867     1.19753   0.0024948
         240     1.17318     1.19743  0.00248647
         241     1.15445     1.19725  0.00248254
         242     1.18432      1.1972  0.00247285
         243     1.21312     1.19726  0.00246355
         244      1.2112     1.19732  0.00245411
         245      1.1933     1.19731  0.00244415
         246     1.18417     1.19725   0.0024348
         247     1.17973     1.19718  0.00242597
         248     1.18839     1.19715  0.00241645
         249     1.21041      1.1972  0.00240733
         250     1.21457     1.19727  0.00239871
         251     1.20307     1.19729  0.00238926
         252     1.18878     1.19726  0.00238002
         253     1.17932     1.19719  0.00237167
         254     1.17926     1.19712  0.00236338
         255     1.19745     1.19712  0.00235411
         256     1.22255     1.19722  0.00234701
