#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0445326  -0.0445326           0
           2   -0.164141   -0.104337   0.0422881
           3   -0.262103   -0.156925   0.0513663
           4   -0.305009   -0.193946   0.0501205
           5   -0.355648   -0.226287   0.0494413
           6   -0.347865    -0.24655   0.0451629
           7   -0.329009    -0.25833    0.040218
           8   -0.342074   -0.268798   0.0365277
           9   -0.339489   -0.276652   0.0333029
          10   -0.386265   -0.287614   0.0317252
          11   -0.394492    -0.29733   0.0302924
          12   -0.380693   -0.304277   0.0285535
          13   -0.389787   -0.310854   0.0271041
          14   -0.348866    -0.31357   0.0253038
          15   -0.356084   -0.316404    0.023775
          16    -0.33906    -0.31782   0.0223312
          17   -0.339133   -0.319074   0.0210528
          18   -0.346339   -0.320588   0.0199376
          19    -0.31766   -0.320434   0.0188889
          20   -0.397638   -0.324294   0.0183346
          21   -0.425168   -0.329098   0.0180798
          22   -0.452076   -0.334688   0.0181016
          23   -0.437802   -0.339171   0.0178611
          24   -0.438788   -0.343322   0.0175925
          25   -0.373355   -0.344523   0.0169298
          26   -0.367586    -0.34541   0.0163019
          27   -0.374689   -0.346495   0.0157341
          28   -0.365937   -0.347189   0.0151875
          29   -0.370847   -0.348005   0.0146857
