#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -5.1905     -5.1905           0
           2    -5.05804    -5.12427   0.0468327
           3    -5.01831    -5.08895   0.0425018
           4    -5.03906    -5.07648   0.0336566
           5     -5.0307    -5.06732    0.028143
           6    -5.03134    -5.06132   0.0240831
           7    -5.06659    -5.06208   0.0206544
           8    -4.99382    -5.05354   0.0197563
           9    -5.07006    -5.05538   0.0176462
          10    -5.03643    -5.05348    0.015983
