#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.945582    0.945582           0
           2    0.881471    0.913526   0.0226664
           3    0.862733    0.896595   0.0204804
           4    0.874586    0.891093   0.0160825
           5    0.870801    0.887035   0.0133682
           6    0.868156    0.883888   0.0115045
           7    0.884364    0.883956  0.00986122
           8    0.851186     0.87986   0.0094411
           9    0.884733    0.880401   0.0084076
          10    0.870632    0.879424  0.00762339
