#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.17763     1.17763           0
           2     1.08979     1.13371   0.0310566
           3     1.06383     1.11042   0.0281149
           4     1.07867     1.10248   0.0221782
           5     1.07201     1.09639   0.0185611
           6     1.07199     1.09232   0.0159065
           7     1.09498      1.0927   0.0136387
           8     1.04696     1.08698   0.0130775
           9     1.09581     1.08796   0.0116612
          10     1.07465     1.08663   0.0105708
