#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.38096    -3.38096           0
           2    -3.37689    -3.37893  0.00143856
           3    -3.37764     -3.3785  0.00102082
           4    -3.37803    -3.37838  0.00077243
           5    -3.37689    -3.37808 0.000673341
           6    -3.37999     -3.3784 0.000631981
           7    -3.37826    -3.37838 0.000542018
           8    -3.37981    -3.37856 0.000502708
           9    -3.37678    -3.37836 0.000483974
          10    -3.37572     -3.3781 0.000502588
          11    -3.37764    -3.37806 0.000458626
          12    -3.37954    -3.37818 0.000436687
          13    -3.38041    -3.37835 0.000435384
          14    -3.37655    -3.37822 0.000422817
          15    -3.37615    -3.37808 0.000416543
          16    -3.37722    -3.37803  0.00039401
          17     -3.3798    -3.37813 0.000384331
          18    -3.38113     -3.3783 0.000397494
          19    -3.38051    -3.37842 0.000393221
          20      -3.377    -3.37835 0.000379862
          21    -3.37548    -3.37821 0.000385587
          22    -3.37759    -3.37818 0.000369074
          23    -3.37935    -3.37823 0.000356498
          24    -3.37806    -3.37822 0.000341717
          25    -3.37668    -3.37816 0.000333582
          26    -3.37531    -3.37805 0.000338339
          27    -3.37725    -3.37802 0.000327128
          28     -3.3782    -3.37803 0.000315507
          29    -3.38195    -3.37817  0.00033239
          30    -3.37783    -3.37815 0.000321502
          31     -3.3764     -3.3781  0.00031605
          32    -3.37207    -3.37791 0.000357954
          33    -3.37585    -3.37785 0.000352507
          34     -3.3771    -3.37782 0.000342819
          35     -3.3812    -3.37792 0.000346289
          36    -3.37749    -3.37791 0.000336873
          37    -3.37839    -3.37792 0.000328018
          38    -3.37733    -3.37791 0.000319759
          39    -3.37743    -3.37789  0.00031179
          40    -3.37759    -3.37789  0.00030409
          41    -3.37946    -3.37793 0.000299088
          42    -3.38145    -3.37801 0.000303483
          43    -3.37924    -3.37804 0.000297783
          44    -3.37871    -3.37805 0.000291409
          45     -3.3811    -3.37812 0.000292677
          46    -3.37745    -3.37811 0.000286679
          47    -3.37882    -3.37812 0.000280983
          48    -3.37726     -3.3781 0.000275703
          49    -3.37596    -3.37806 0.000273521
          50    -3.37625    -3.37802 0.000270444
          51    -3.37907    -3.37804 0.000265925
          52    -3.37822    -3.37805 0.000260834
          53    -3.37649    -3.37802  0.00025757
          54    -3.37776    -3.37801 0.000252844
          55    -3.37725      -3.378 0.000248623
          56    -3.37724    -3.37799 0.000244552
          57    -3.37981    -3.37802 0.000242354
          58    -3.37982    -3.37805 0.000240156
          59     -3.3795    -3.37807  0.00023734
          60    -3.38098    -3.37812 0.000238292
          61    -3.38004    -3.37815  0.00023646
          62    -3.37819    -3.37815 0.000232647
          63    -3.38009    -3.37818 0.000230968
          64      -3.374    -3.37812 0.000236435
          65    -3.37685     -3.3781 0.000233603
          66    -3.37935    -3.37812 0.000230833
          67    -3.38164    -3.37817 0.000233286
          68    -3.38205    -3.37823 0.000236714
          69    -3.37915    -3.37824 0.000233662
          70    -3.38004    -3.37827 0.000231735
          71    -3.37806    -3.37826 0.000228489
          72    -3.37937    -3.37828 0.000225827
          73    -3.37511    -3.37824 0.000226862
          74    -3.37655    -3.37821 0.000224937
          75    -3.37878    -3.37822 0.000222066
          76    -3.37742    -3.37821 0.000219396
          77    -3.37837    -3.37821 0.000216556
          78    -3.37741     -3.3782 0.000214023
          79    -3.37828     -3.3782 0.000211316
          80    -3.37865    -3.37821 0.000208749
          81    -3.38042    -3.37824 0.000207943
          82     -3.3792    -3.37825 0.000205741
          83    -3.37727    -3.37824   0.0002036
          84     -3.3786    -3.37824 0.000201223
          85    -3.37794    -3.37824 0.000198886
          86    -3.37977    -3.37825 0.000197373
          87    -3.37992    -3.37827 0.000196028
          88    -3.37911    -3.37828 0.000194029
          89    -3.37921    -3.37829 0.000192131
          90    -3.37859     -3.3783 0.000190025
          91    -3.37626    -3.37827 0.000189253
          92    -3.37781    -3.37827 0.000187263
          93    -3.37491    -3.37823 0.000188708
          94     -3.3789    -3.37824 0.000186833
          95    -3.37955    -3.37825 0.000185375
          96    -3.37884    -3.37826 0.000183545
          97    -3.37926    -3.37827 0.000181944
          98    -3.37862    -3.37827 0.000180122
          99     -3.3795    -3.37829 0.000178728
         100    -3.37645    -3.37827 0.000177887
         101    -3.37865    -3.37827 0.000176165
         102     -3.3762    -3.37825  0.00017561
         103    -3.37745    -3.37824 0.000174079
         104    -3.37985    -3.37826 0.000173086
         105    -3.37814    -3.37826 0.000171441
         106    -3.37916    -3.37827 0.000170033
         107    -3.37824    -3.37827 0.000168444
         108    -3.37921    -3.37828 0.000167112
         109    -3.37731    -3.37827 0.000165815
         110    -3.37792    -3.37826 0.000164337
         111    -3.37827    -3.37826 0.000162857
         112     -3.3786    -3.37827  0.00016143
         113    -3.37972    -3.37828 0.000160514
