#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.18028     1.18028           0
           2      1.1917     1.18599  0.00403723
           3     1.19198     1.18798  0.00314654
           4     1.19261     1.18914  0.00256337
           5     1.19521     1.19035  0.00232032
           6     1.20238     1.19236  0.00266236
           7     1.17956     1.19053  0.00284083
           8     1.19151     1.19065  0.00248839
           9     1.19398     1.19102  0.00223919
          10     1.18753     1.19067  0.00204234
