#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.786851    0.786851           0
           2    0.794464    0.790658  0.00269149
           3     0.79465    0.791989  0.00209769
           4     0.79507    0.792759  0.00170891
           5    0.796805    0.793568  0.00154688
           6    0.801587    0.794905  0.00177491
           7    0.786376    0.793686  0.00189389
           8    0.794342    0.793768  0.00165893
           9    0.795986    0.794015  0.00149279
          10    0.791686    0.793782  0.00136156
