#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.62458    -6.62458           0
           2    -6.66723    -6.64591   0.0150803
           3    -6.64527     -6.6457    0.010055
           4    -6.66547    -6.65064  0.00867158
           5    -6.65543     -6.6516     0.00699
           6    -6.65933    -6.65289  0.00594268
           7    -6.65432    -6.65309  0.00509728
           8    -6.65952     -6.6539  0.00452291
           9    -6.67338    -6.65606  0.00450908
          10    -6.65157    -6.65561  0.00408045
          11    -6.64787    -6.65491  0.00376964
          12    -6.65956     -6.6553   0.0034754
          13    -6.66101    -6.65574   0.0032357
          14     -6.6381    -6.65448  0.00324056
          15    -6.65333     -6.6544  0.00302542
          16    -6.66124    -6.65483  0.00286636
          17    -6.65102     -6.6546  0.00270647
          18    -6.65686    -6.65473  0.00255901
          19    -6.67527    -6.65581  0.00264282
          20    -6.65045    -6.65554  0.00252421
          21    -6.66526      -6.656  0.00244606
          22    -6.63742    -6.65516  0.00247646
          23    -6.65956    -6.65535  0.00237617
          24     -6.6642    -6.65572  0.00230558
          25    -6.66012     -6.6559  0.00222007
          26    -6.65255    -6.65577  0.00213841
          27     -6.6486     -6.6555  0.00207564
          28    -6.66225    -6.65574  0.00201544
          29    -6.64934    -6.65552  0.00195801
          30    -6.66837    -6.65595  0.00193904
          31    -6.65582    -6.65595   0.0018765
          32       -6.64    -6.65545   0.0018829
          33    -6.65457    -6.65542  0.00182603
          34    -6.65276    -6.65534    0.001774
          35    -6.67948    -6.65603  0.00185255
          36    -6.64155    -6.65563  0.00184424
          37    -6.65288    -6.65556   0.0017959
          38    -6.66019    -6.65568  0.00175276
          39    -6.66009    -6.65579  0.00171146
          40    -6.65405    -6.65575  0.00166923
          41    -6.67524    -6.65622  0.00169485
          42    -6.65778    -6.65626   0.0016549
          43    -6.63078    -6.65567  0.00171922
          44    -6.65919    -6.65575  0.00168201
          45     -6.6599    -6.65584  0.00164716
          46    -6.62962    -6.65527  0.00170714
          47    -6.66772    -6.65553  0.00169126
          48      -6.639    -6.65519  0.00169073
          49    -6.65494    -6.65518  0.00165623
          50    -6.66745    -6.65543  0.00164117
          51    -6.67228    -6.65576  0.00164191
          52    -6.60765    -6.65484  0.00185274
          53    -6.66269    -6.65498  0.00182371
          54    -6.66574    -6.65518  0.00180079
          55    -6.66287    -6.65532  0.00177346
          56    -6.64807    -6.65519   0.0017465
          57    -6.65766    -6.65524   0.0017164
          58    -6.63615    -6.65491  0.00171805
          59     -6.6605      -6.655  0.00169154
          60       -6.68    -6.65542  0.00171388
          61    -6.63074    -6.65501  0.00173289
          62    -6.64512    -6.65485  0.00171227
          63     -6.6653    -6.65502  0.00169309
          64    -6.66845    -6.65523  0.00167958
          65    -6.64729    -6.65511  0.00165818
          66    -6.65049    -6.65504  0.00163453
          67    -6.67699    -6.65537  0.00164265
          68    -6.61848    -6.65482  0.00170572
          69    -6.64849    -6.65473  0.00168347
          70    -6.67856    -6.65507  0.00169349
          71    -6.65694     -6.6551  0.00166984
          72    -6.65695    -6.65512  0.00164685
          73    -6.64851    -6.65503  0.00162678
          74    -6.65104    -6.65498  0.00160569
          75    -6.66789    -6.65515  0.00159348
          76     -6.6364     -6.6549  0.00159151
          77    -6.66911    -6.65509  0.00158151
          78    -6.64926    -6.65501    0.001563
          79    -6.63913    -6.65481  0.00155609
          80    -6.66646    -6.65496  0.00154343
          81    -6.66891    -6.65513  0.00153395
          82    -6.66468    -6.65525  0.00151966
          83    -6.63941    -6.65506  0.00151328
          84    -6.63182    -6.65478  0.00152034
          85    -6.68103    -6.65509  0.00153349
          86    -6.67246    -6.65529   0.0015289
          87    -6.64891    -6.65522  0.00151309
          88    -6.64729    -6.65513  0.00149857
          89    -6.65129    -6.65508  0.00148235
          90    -6.64558    -6.65498  0.00146964
          91    -6.67801    -6.65523  0.00147512
          92    -6.66603    -6.65535  0.00146375
          93    -6.62578    -6.65503  0.00148215
          94    -6.66424    -6.65513  0.00146962
          95    -6.64484    -6.65502  0.00145813
          96    -6.64575    -6.65492  0.00144613
          97    -6.68256    -6.65521  0.00145902
          98    -6.65502    -6.65521  0.00144413
          99    -6.65077    -6.65516  0.00143024
         100    -6.64051    -6.65502  0.00142343
         101    -6.66161    -6.65508  0.00141083
         102    -6.64399    -6.65497  0.00140118
         103    -6.67283    -6.65515  0.00139826
         104    -6.64367    -6.65504  0.00138917
         105    -6.64347    -6.65493  0.00138029
         106     -6.6605    -6.65498  0.00136828
         107    -6.65816    -6.65501  0.00135581
         108    -6.64617    -6.65493  0.00134572
         109    -6.65611    -6.65494  0.00133342
         110    -6.65455    -6.65493   0.0013213
         111    -6.67452    -6.65511  0.00132113
         112    -6.62801    -6.65487   0.0013313
         113    -6.65439    -6.65486  0.00131953
         114    -6.65434    -6.65486  0.00130796
         115    -6.65246    -6.65484  0.00129676
         116    -6.65199    -6.65481  0.00128581
         117    -6.65488    -6.65481  0.00127482
         118    -6.66282    -6.65488  0.00126582
         119    -6.65048    -6.65485  0.00125572
         120    -6.66512    -6.65493  0.00124817
         121    -6.66171    -6.65499  0.00123911
         122     -6.6423    -6.65488  0.00123331
         123    -6.65855    -6.65491  0.00122365
         124    -6.65656    -6.65493  0.00121385
         125    -6.67811    -6.65511  0.00121823
         126    -6.64062      -6.655  0.00121398
         127    -6.65535      -6.655  0.00120442
         128    -6.64778    -6.65494  0.00119633
         129    -6.65747    -6.65496  0.00118722
         130    -6.65366    -6.65495  0.00117813
         131    -6.66801    -6.65505  0.00117335
         132    -6.64368    -6.65497  0.00116761
         133    -6.62945    -6.65477  0.00117449
         134    -6.67761    -6.65494  0.00117803
         135    -6.63997    -6.65483  0.00117451
         136    -6.66743    -6.65493  0.00116952
         137    -6.63847    -6.65481  0.00116713
         138    -6.66449    -6.65488  0.00116078
         139    -6.65321    -6.65486  0.00115249
         140    -6.65861    -6.65489  0.00114457
         141    -6.65641     -6.6549   0.0011365
         142    -6.65103    -6.65487  0.00112883
         143    -6.65568    -6.65488  0.00112095
         144    -6.63233    -6.65472  0.00112405
         145    -6.66034    -6.65476  0.00111696
         146    -6.68877      -6.655  0.00113335
         147    -6.62443    -6.65479  0.00114456
         148    -6.65871    -6.65481  0.00113713
         149    -6.65618    -6.65482  0.00112953
         150    -6.67312    -6.65494  0.00112857
         151    -6.64245    -6.65486  0.00112413
         152    -6.67328    -6.65498  0.00112324
         153    -6.65922    -6.65501  0.00111624
         154    -6.63755     -6.6549  0.00111473
         155    -6.66661    -6.65497   0.0011101
         156    -6.65508    -6.65497  0.00110299
         157    -6.66011    -6.65501  0.00109644
         158    -6.65573    -6.65501  0.00108951
         159    -6.64422    -6.65494  0.00108478
         160    -6.66158    -6.65498  0.00107879
         161     -6.6555    -6.65499  0.00107209
         162    -6.64168    -6.65491  0.00106862
         163    -6.66434    -6.65496  0.00106363
         164    -6.64537    -6.65491  0.00105875
         165    -6.65565    -6.65491  0.00105234
         166    -6.66485    -6.65497  0.00104771
