#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.989713    0.989713           0
           2    0.996361    0.993037  0.00235036
           3    0.997889    0.994654  0.00204917
           4    0.999375    0.995834   0.0018457
           5     1.00128    0.996923  0.00176874
           6    0.990898    0.995919  0.00173574
           7    0.994051    0.995652  0.00150815
           8     0.99372     0.99541  0.00133883
           9    0.996947    0.995581  0.00120091
          10     1.00064    0.996087  0.00118261
